language.EnglishName|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_back.question.5|look_up.question.1|look_up.question.2|look_up.question.3|look_up.question.4|look_up.question.5|look_up.question.6|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|promo.discovery_bible_study|promo.discuss_with_friends|promo.invite_to_discover|promo.discussion_starter||promo.individual_discovery|promo.group_discovery|select_passage|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23
Finnish|fin00|fi|Katso taaksepäin|Katso ylös|Katso eteenpäin|Mistä olet kiitollinen tällä viikolla?|Minkä kanssa kamppailet ja miten voimme auttaa?|Kuinka sovelsit käytäntöön pyhien kirjoitusten kohtaa/kertomusta, jota opiskelimme viimeksi tapaamisen yhteydessä?|Kenen kanssa jaoit viime viikon oppitunnin ja miten se meni?|Mitä tarpeita kohtasit yhteisössä viime viikolla?|Pyydä jotakuta lukemaan kohta kappale kerrallaan.|Pyydä ryhmän jäsentä kertomaan se omin sanoin.|Kysy ryhmältä, lisäsivätkö he jotain tai jättivätkö he jotain pois.|Kun olet lopettanut KAIKKI kappaleet, pyydä jotakuta ryhmässä kertomaan KOKO tarina muistiin. Pyydä ryhmää korjaamaan mahdolliset virheet.|Mitä tämä kohta kertoo meille Jumalasta tai Jeesuksesta?|Mitä tämä kohta kertoo ihmisistä?|Jos tämä kohta on totta, mitä meidän pitäisi muuttaa tällä viikolla?|Kenelle kerrot tämän tarinan tällä viikolla?|Mihin tarpeisiin voimme vastata yhteisössä tällä viikolla?|Milloin haluat tavata uudelleen?|Discovery Bible Study|Keskustele ystävien kanssa|Haluaisitko selvittää ystäviesi kanssa, millainen Jumala on ja kuinka Jumala haluaa sinun elävän?|Tässä on muutamia kysymyksiä keskustelun aloittamiseksi.||Haluaisitko itse selvittää, millainen Jumala on ja miten Jumala haluaa sinun elävän?|Useimmat ihmiset haluavat tehdä näitä löytöjä ryhmässä ystäviensä kanssa.|Valitse Passage|Alku|Puutarha|Valinta|Abraham|10 käskyä|Uhreja synnin puolesta|Kärsivä palvelija|Jeesuksen syntymä|Jeesuksen kaste|Nikodemus|Samarialainen nainen|Halvautunut Mies|Myrsky|Demonien riivaama mies|Lasarus|Sana|Pidätetty|Jeesuksen oikeudenkäynti|Ristiinnaulittu|Ylösnousemus|Otettu ylös|Vastaukset|yhteisössä
French|frn00|fr|Regarder en arrière|Chercher|Avoir hâte|De quoi êtes-vous reconnaissant cette semaine ?|Quel est votre problème et comment pouvons-nous vous aider ?|Comment avez-vous mis en pratique l’Écriture/l’histoire que nous avons étudiée la dernière fois que nous nous sommes rencontrés ?|Avec qui avez-vous partagé la leçon de la semaine dernière et comment ça s'est passé ?|Quels besoins avez-vous rencontrés dans la communauté la semaine dernière ?|Demandez à quelqu'un de lire le passage un paragraphe à la fois.|Demandez à un membre du groupe de le raconter dans ses propres mots.|Demandez au groupe s’il a ajouté ou omis quelque chose.|Lorsque vous avez terminé avec TOUS les paragraphes, demandez à quelqu’un du groupe de raconter TOUTE l’histoire de mémoire. Demandez au groupe de corriger les erreurs.|Que nous dit ce passage sur Dieu ou Jésus ?|Que nous dit ce passage sur les gens ?|Si ce passage est vrai, quel comportement devrions-nous changer cette semaine ?|À qui raconterez-vous cette histoire cette semaine ?|À quels besoins pouvons-nous répondre dans la communauté cette semaine ?|Quand souhaitez-vous vous revoir ?|Étude biblique de découverte|Discutez avec des amis|Aimeriez-vous découvrir avec vos amis à quoi ressemble Dieu et comment Dieu veut que vous viviez ?|Voici quelques questions pour lancer votre discussion.||Aimeriez-vous découvrir par vous-même à quoi ressemble Dieu et comment Il veut que vous viviez ?|La plupart des gens aiment faire ces découvertes en groupe avec leurs amis.|Sélectionnez un passage|Le début|Le jardin|Le choix|Abraham|10 commandements|Offrandes pour le péché|Serviteur souffrant|Naissance de Jésus|Baptême de Jésus|Nicodème|Samaritaine|Homme paralysé|La tempête|Un homme possédé par un démon|Lazare|La Parole|Arrêté|Le procès de Jésus|Crucifié|Résurrection|Pris|Réponses|Communauté
Frisian|fri29|fy|Sjoch werom|Sjoch Up|Sjoch foarút|Wêr bisto tankber foar dizze wike?|Wêr hawwe jo muoite mei en hoe kinne wy ​​helpe?|Hoe hawwe jo it skrift/ferhaal dat wy de lêste kear studearre hawwe, yn 'e praktyk brocht?|Mei wa hawwe jo de les fan ferline wike dield en hoe gie it?|Oan hokker behoeften hawwe jo ferline wike foldien yn de mienskip?|Freegje ien om de passaazje ien alinea foar ien te lêzen.|Lit in groepslid it yn har eigen wurden fertelle.|Freegje de groep as se wat tafoege hawwe of wat útlitten hawwe.|As jo ​​klear binne mei ALLE paragrafen, freegje dan ien yn 'e groep om it HELE ferhaal troch ûnthâld te fertellen. Lit de groep alle flaters korrigearje.|Wat fertelt dizze passaazje ús oer God of Jezus?|Wat fertelt dizze passaazje ús oer minsken?|As dizze passaazje wier is, hokker gedrach moatte wy dizze wike feroarje?|Oan wa sille jo dizze wike dit ferhaal fertelle?|Oan hokker behoeften kinne wy ​​dizze wike foldwaan yn de mienskip?|Wannear wolle jo wer moetsje?|Discovery Bibelstúdzje|Diskusje mei freonen|Wolle jo mei jo freonen ûntdekke hoe God is en hoe God wol dat jo libje?|Hjir binne wat fragen om jo diskusje te begjinnen.||Wolle jo sels ûntdekke hoe God is en hoe God wol dat jo libje?|De measte minsken wolle dizze ûntdekkingen meitsje yn in groep mei har freonen.|Selektearje Passage|It begjin|De Tún|De kar|Abraham|10 Geboaden|Offers foar Sin|Liedende tsjinstfeint|Geboorte fan Jezus|Doop fan Jezus|Nikodemus|Samaritaanse frou|Ferlamme man|De Stoarm|In demon-beseten man|Lazarus|It Wurd|Arrestearre|Jezus' Trial|Krúsige|Opstanning|Opnommen|Reaksjes|Mienskip
Galician|gln00|gl|Mira atrás|Mira cara arriba|Mire adiante|Que agradeces esta semana?|Con que estás loitando e como podemos axudar?|Como puxeches en práctica a escritura/historia que estudamos a última vez que nos vimos?|Con quen compartiches a lección da semana pasada e como foi?|Que necesidades cumpriu na comunidade a semana pasada?|Pídalle a alguén que lea o fragmento un parágrafo á vez.|Fai que un membro do grupo o diga coas súas propias palabras.|Pregúntalle ao grupo se engadiron algo ou deixaron algo fóra.|Cando remates con TODOS os parágrafos, pídelle a alguén do grupo que conte TODA a historia de memoria. Fai que o grupo corrixa os erros.|Que nos di esta pasaxe sobre Deus ou Xesús?|Que nos di esta pasaxe sobre as persoas?|Se este paso é certo, que comportamento debemos cambiar esta semana?|A quen lle contarás esta historia esta semana?|Que necesidades podemos satisfacer na comunidade esta semana?|Cando te queres atopar de novo?|Estudo Bíblico Discovery|Discutir cos Amigos|Gustaríache descubrir cos teus amigos como é Deus e como Deus quere que vivas?|Aquí tes algunhas preguntas para comezar a túa discusión.||Gustaríache descubrir por ti mesmo como é Deus e como Deus quere que vivas?|A maioría da xente gústalle facer estes descubrimentos en grupo cos seus amigos.|Seleccione Pasaxe|O Comezo|O Xardín|A elección|Abraham|10 Mandamentos|Ofrendas polo pecado|Servo sufrido|Nacemento de Xesús|Bautismo de Xesús|Nicodemo|Muller samaritana|Home Paralizado|A Tempestade|Un home endemoniado|Lázaro|A Palabra|Detido|O xuízo de Xesús|Crucificado|Resurrección|Tomado|Respostas|Comunidade
Georgian|geo00|ka|უკან გაიხედე|მაღლა აიხედე|იყურე წინ|რისთვის ხარ მადლობელი ამ კვირაში?|რა გაწუხებთ და როგორ შეგვიძლია დაგეხმაროთ?|როგორ გამოიყენე პრაქტიკაში წმინდა წერილი/ამბავი, რომელიც შევისწავლეთ ბოლოს შეხვედრისას?|ვის გაუზიარე გასული კვირის გაკვეთილი და როგორ ჩაიარა?|რა საჭიროებებს შეხვდით საზოგადოებაში გასულ კვირას?|სთხოვეთ ვინმეს წაიკითხოს ნაწყვეტი თითო აბზაცში.|სთხოვეთ ჯგუფის წევრს თქვას ეს საკუთარი სიტყვებით.|ჰკითხეთ ჯგუფს, დაამატეს რამე ან გამოტოვეს რამე.|როდესაც დაასრულებთ ყველა აბზაცს, სთხოვეთ ვინმეს ჯგუფში, მოახსენოს მთელი ამბავი მეხსიერებით. სთხოვეთ ჯგუფს შეასწოროს ნებისმიერი შეცდომა.|რას გვეუბნება ეს მონაკვეთი ღმერთზე ან იესოზე?|რას გვეუბნება ეს მონაკვეთი ადამიანებზე?|თუ ეს მონაკვეთი მართალია, რა ქცევა უნდა შევცვალოთ ამ კვირაში?|ვის მოუყვები ამ ამბავს ამ კვირაში?|რა მოთხოვნილებების დაკმაყოფილება შეგვიძლია საზოგადოებაში ამ კვირაში?|როდის გინდა ისევ შევხვდეთ?|აღმოჩენა ბიბლიის შესწავლა|დისკუსია მეგობრებთან ერთად|გსურთ მეგობრებთან ერთად გაიგოთ, როგორია ღმერთი და როგორ სურს ღმერთს თქვენ იცხოვროთ?|აქ არის რამოდენიმე შეკითხვა თქვენი დისკუსიის დასაწყებად.||გსურს თავად აღმოაჩინო, როგორია ღმერთი და როგორ სურს ღმერთს შენ იცხოვრო?|ადამიანების უმეტესობას მოსწონს ამ აღმოჩენების გაკეთება ჯგუფში მეგობრებთან ერთად.|აირჩიეთ გადასასვლელი|დასაწყისი|ბაღი|არჩევანი|აბრაამი|10 მცნება|შესაწირავი ცოდვისთვის|ტანჯული მსახური|იესოს დაბადება|იესოს ნათლობა|ნიკოდიმოსი|სამარიელი ქალი|პარალიზებული კაცი|ქარიშხალი|დემონებით შეპყრობილი კაცი|ლაზარე|სიტყვა|დააკავეს|იესოს სასამართლო პროცესი|ჯვარცმული|აღდგომა|აღებული|გამოხმაურებები|საზოგადოება
German|ger00|de|Rückblick|Nachschlagen|Freuen|Wofür bist du diese Woche dankbar?|Womit haben Sie zu kämpfen und wie können wir helfen?|Wie haben Sie die Schrift/Geschichte, die wir bei unserem letzten Treffen studiert haben, in die Praxis umgesetzt?|Mit wem haben Sie die Lektion der letzten Woche geteilt und wie ist sie gelaufen?|Welche Bedürfnisse haben Sie letzte Woche in der Gemeinde erfüllt?|Bitten Sie jemanden, die Passage Absatz für Absatz vorzulesen.|Lassen Sie es von einem Gruppenmitglied mit eigenen Worten erzählen.|Fragen Sie die Gruppe, ob sie etwas hinzugefügt oder weggelassen hat.|Wenn Sie mit ALLEN Absätzen fertig sind, bitten Sie jemanden aus der Gruppe, die GANZE Geschichte auswendig zu erzählen. Lassen Sie die Gruppe etwaige Fehler korrigieren.|Was sagt uns diese Passage über Gott oder Jesus?|Was sagt uns dieser Abschnitt über Menschen?|Wenn diese Passage wahr ist, welches Verhalten sollten wir diese Woche ändern?|Wem wirst du diese Geschichte diese Woche erzählen?|Welche Bedürfnisse können wir diese Woche in der Gemeinde erfüllen?|Wann möchtest du dich wiedersehen?|Entdeckungsbibelstudie|Diskutieren Sie mit Freunden|Möchten Sie mit Ihren Freunden herausfinden, wie Gott ist und wie Gott möchte, dass Sie leben?|Hier sind einige Fragen, um Ihre Diskussion zu beginnen.||Möchten Sie selbst herausfinden, wie Gott ist und wie Gott möchte, dass Sie leben?|Die meisten Menschen machen diese Entdeckungen gerne in der Gruppe mit ihren Freunden.|Wählen Sie Passage|Der Anfang|Der Garten|Die Wahl|Abraham|10 Gebote|Opfergaben für die Sünde|Leidender Diener|Geburt Jesu|Taufe Jesu|Nikodemus|Samariterin|Gelähmter Mann|Der Sturm|Ein von Dämonen besessener Mann|Lazarus|Das Wort|Verhaftet|Der Prozess gegen Jesus|Gekreuzigt|Auferstehung|Aufgenommen|Antworten|Gemeinschaft
Greek|grk00|el|Αναπολώ|Κοιτάζω πάνω|Κοίτα μπροστά|Για τι είστε ευγνώμονες αυτή την εβδομάδα;|Με τι παλεύετε και πώς μπορούμε να βοηθήσουμε;|Πώς εφαρμόσατε στην πράξη τη γραφή/ιστορία που μελετήσαμε την τελευταία φορά που συναντηθήκαμε;|Με ποιον μοιραστήκατε το μάθημα της περασμένης εβδομάδας και πώς πήγε;|Ποιες ανάγκες ικανοποιήσατε στην κοινότητα την περασμένη εβδομάδα;|Ζητήστε από κάποιον να διαβάσει το απόσπασμα μία παράγραφο τη φορά.|Ζητήστε από ένα μέλος της ομάδας να το πει με δικά του λόγια.|Ρωτήστε την ομάδα εάν πρόσθεσαν κάτι ή άφησαν κάτι έξω.|Όταν τελειώσετε με ΟΛΕΣ τις παραγράφους, ζητήστε από κάποιον στην ομάδα να πει ΟΛΗ την ιστορία από τη μνήμη. Ζητήστε από την ομάδα να διορθώσει τυχόν σφάλματα.|Τι μας λέει αυτό το απόσπασμα για τον Θεό ή τον Ιησού;|Τι μας λέει αυτό το απόσπασμα για τους ανθρώπους;|Εάν αυτό το απόσπασμα είναι αλήθεια, ποια συμπεριφορά πρέπει να αλλάξουμε αυτήν την εβδομάδα;|Σε ποιον θα πεις αυτή την ιστορία αυτή την εβδομάδα;|Ποιες ανάγκες μπορούμε να καλύψουμε στην κοινότητα αυτή την εβδομάδα;|Πότε θέλεις να ξανασυναντηθούμε;|Ανακάλυψη Βιβλική Μελέτη|Συζήτηση με φίλους|Θα θέλατε να ανακαλύψετε με τους φίλους σας πώς είναι ο Θεός και πώς θέλει ο Θεός να ζήσετε;|Ακολουθούν ορισμένες ερωτήσεις για να ξεκινήσετε τη συζήτησή σας.||Θα θέλατε να ανακαλύψετε μόνοι σας πώς είναι ο Θεός και πώς θέλει ο Θεός να ζήσετε;|Στους περισσότερους αρέσει να κάνουν αυτές τις ανακαλύψεις σε μια ομάδα με τους φίλους τους.|Επιλέξτε Πέρασμα|Η Αρχή|Ο Κήπος|Η Επιλογή|Αβραάμ|10 Εντολές|Προσφορές για την αμαρτία|Ταλαίπωρος Υπηρέτης|Γέννηση του Ιησού|Βάπτιση του Ιησού|Νικόδημος|Γυναίκα Σαμαρείτισσα|Παράλυτος Άνθρωπος|Η Καταιγίδα|Ένας Δαιμονισμένος Άνθρωπος|Λάζαρος|Ο Λόγος|Συνελήφθη|Η Δίκη του Ιησού|Σταυρωμένος|Ανάσταση|Λήψη|Απαντήσεις|Κοινότητα
Guarani||gn||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Gujarati|gjr00|gu|પાછળ જુઓ|ઉપર જુઓ|આગળ જુઓ|તમે આ અઠવાડિયે શેના માટે આભારી છો?|તમે શું સાથે સંઘર્ષ કરી રહ્યા છો અને અમે કેવી રીતે મદદ કરી શકીએ?|અમે છેલ્લી વાર મળ્યા ત્યારે અમે જે શાસ્ત્ર/વાર્તાનો અભ્યાસ કર્યો હતો તેને તમે કેવી રીતે અમલમાં મૂક્યો?|તમે ગયા અઠવાડિયેનો પાઠ કોની સાથે શેર કર્યો અને તે કેવી રીતે ગયો?|ગયા અઠવાડિયે તમે સમુદાયમાં કઈ જરૂરિયાતો પૂરી કરી?|કોઈને એક સમયે એક ફકરો વાંચવા માટે કહો.|જૂથના સભ્યને તેમના પોતાના શબ્દોમાં જણાવો.|જૂથને પૂછો કે શું તેઓએ કંઈપણ ઉમેર્યું છે અથવા કંઈપણ છોડ્યું છે.|જ્યારે તમે બધા ફકરાઓ સાથે સમાપ્ત કરો છો, ત્યારે જૂથમાં કોઈને મેમરી દ્વારા આખી વાર્તા કહેવા માટે કહો. જૂથને કોઈપણ ભૂલો સુધારવા માટે કહો.|આ પેસેજ આપણને ભગવાન અથવા ઈસુ વિશે શું કહે છે?|આ પેસેજ આપણને લોકો વિશે શું કહે છે?|જો આ પેસેજ સાચો હોય, તો આ અઠવાડિયે આપણે કઈ વર્તણૂક બદલવી જોઈએ?|આ અઠવાડિયે તમે આ વાર્તા કોને કહેશો?|આ અઠવાડિયે આપણે સમુદાયમાં કઈ જરૂરિયાતો પૂરી કરી શકીએ?|તમે ફરીથી ક્યારે મળવા માંગો છો?|ડિસ્કવરી બાઇબલ અભ્યાસ|મિત્રો સાથે ચર્ચા કરો|શું તમે તમારા મિત્રો સાથે એ જાણવા માગો છો કે ભગવાન કેવા છે અને ભગવાન તમને કેવું જીવવા માગે છે?|તમારી ચર્ચા શરૂ કરવા માટે અહીં કેટલાક પ્રશ્નો છે.||શું તમે તમારા માટે જાણવા માગો છો કે ભગવાન કેવા છે અને ભગવાન તમે કેવી રીતે જીવવા માંગો છો?|મોટાભાગના લોકો તેમના મિત્રો સાથે જૂથમાં આ શોધ કરવાનું પસંદ કરે છે.|પેસેજ પસંદ કરો|શરૂઆત|ગાર્ડન|પસંદગી|અબ્રાહમ|10 આજ્ઞાઓ|પાપ માટે અર્પણો|પીડિત સેવક|ઈસુનો જન્મ|ઈસુનો બાપ્તિસ્મા|નિકોડેમસ|સમરિટન વુમન|લકવાગ્રસ્ત માણસ|ધ સ્ટોર્મ|એક રાક્ષસ-કબજો ધરાવતો માણસ|લાજરસ|શબ્દ|ધરપકડ|ઈસુની અજમાયશ|વધસ્તંભે ચડ્યો|પુનરુત્થાન|ઉપાડ્યું|પ્રતિભાવો|સમુદાય
Haitian Creole|hat00|ht|Gade dèyè|Gade anlè|Gade pou pi devan|Ki sa ou rekonesan pou semèn sa a?|Ki sa w ap lite ak ki jan nou ka ede?|Ki jan ou te mete an pratik ekriti/istwa nou te etidye dènye fwa nou te rankontre a?|Ki moun ou te pataje leson semèn pase a ak ki jan li te ale?|Ki bezwen ou te rankontre nan kominote a semèn pase a?|Mande yon moun pou li pasaj la yon paragraf alafwa.|Fè yon manm gwoup di li nan pwòp mo yo.|Mande gwoup la si yo te ajoute anyen oswa si yo kite anyen.|Lè w fini ak TOUT paragraf yo, mande yon moun nan gwoup la pou l rakonte TOUT istwa a pa memwa. Fè gwoup la korije nenpòt erè.|Kisa pasaj sa a di nou sou Bondye oswa Jezi?|Kisa pasaj sa a di nou sou moun?|Si pasaj sa a vre, ki konpòtman nou ta dwe chanje semèn sa a?|Ki moun ou pral rakonte istwa sa a semèn sa a?|Ki bezwen nou ka satisfè nan kominote a semèn sa a?|Kilè ou vle rankontre ankò?|Dekouvèt etid biblik|Diskite ak Zanmi|Èske w ta renmen dekouvri ak zanmi w ki jan Bondye ye e ki jan Bondye vle w viv?|Men kèk kesyon pou kòmanse diskisyon ou.||Èske ou ta renmen dekouvri pou tèt ou ki jan Bondye ye ak ki jan Bondye vle ou viv?|Pifò moun renmen fè dekouvèt sa yo nan yon gwoup ak zanmi yo.|Chwazi pasaj|Kòmansman an|Jaden an|Chwa a|Abraram|10 Kòmandman|Ofrann pou peche|Sèvitè Soufrans|Nesans Jezi|Batèm nan Jezi|Nikodèm|Fanm Samariten|Nonm paralize|Tanpèt la|Yon nonm ki gen demon|Laza|Pawòl la|Arete|Jijman Jezi a|Krisifye|Rezirèksyon|Pran moute|Repons yo|Kominote
Hausa|hua00|ha|Kalli Baya|Duba sama|Sa ido ga|Me kuke godiya a wannan makon?|Me kuke fama dashi kuma ta yaya zamu iya taimakawa?|Ta yaya kuka aiwatar da nassi/labarin da muka yi nazari a baya da muka hadu?|Wanene kuka raba darasin satin da ya gabata kuma yaya abin ya kasance?|Wadanne bukatu kuka hadu a cikin al'umma a makon da ya gabata?|Ka ce wani ya karanta nassi sakin layi ɗaya a lokaci ɗaya.|Ka sa wani memba ya fada a cikin kalmominsa.|Tambayi kungiyar idan sun kara wani abu ko sun bar wani abu.|Lokacin da kuka gama da DUK sakin layi, tambayi wani a cikin rukunin ya ba da cikakken labarin ta hanyar ƙwaƙwalwa. Ka sa kungiyar ta gyara duk wani kurakurai.|Menene wannan nassi ya gaya mana game da Allah ko Yesu?|Menene wannan nassi ya gaya mana game da mutane?|Idan wannan nassi gaskiya ne, wane hali ya kamata mu canza a wannan makon?|Wanene za ku ba wa wannan labarin a wannan makon?|Wadanne bukatu ne za mu iya saduwa a cikin al'umma a wannan makon?|Yaushe kuke son sake haduwa?|Binciken Littafi Mai Tsarki|Tattaunawa da Abokai|Za ka so ka gano tare da abokanka yadda Allah yake da kuma yadda Allah yake son ka rayu?|Ga wasu tambayoyi don fara tattaunawar ku.||Za ka so ka gano yadda Allah yake da kuma yadda Allah yake son ka rayu?|Yawancin mutane suna son yin waɗannan binciken a cikin rukuni tare da abokansu.|Zaɓi Wurin Wuta|Farkon Farko|Lambun|Zaɓin|Ibrahim|10 Dokoki|Hadayu don Zunubi|Bawan wahala|Haihuwar Yesu|Baftisma na Yesu|Nikodimu|Matar Samariya|Shanyayyen Mutum|Guguwar|Wani Mutum Mai Aljani|Li'azaru|Kalmar|An kama|Gwajin Yesu|An giciye|Tashin Kiyama|An ɗauka|Martani|Al'umma
Hawaiian|haw98|haw|Nānā i hope|Nānā i lune|Nānā i mua|He aha kāu e mahalo ai i kēia pule?|He aha kāu e hakakā nei a pehea mākou e kōkua ai?|Pehea ʻoe i hoʻokō ai i ka moʻolelo/moʻolelo a mākou i aʻo ai i ka wā i hui ai mākou?|ʻO wai kāu i haʻi ai i ka haʻawina o ka pule i hala a pehea i hele ai?|He aha nā pono āu i hālāwai ai ma ke kaiāulu i ka pule i hala?|E noi i kekahi e heluhelu i ka pauku i hoʻokahi paukū i ka manawa.|E haʻi i kekahi lālā o ka hui ma kā lākou ʻōlelo ponoʻī.|E nīnau i ka hui inā hoʻohui lākou i kekahi mea a haʻalele paha i kekahi mea.|Ke hoʻopau ʻoe me nā paukū a pau, e noi i kekahi o ka hui e haʻi i ka moʻolelo WHOLE ma ka hoʻomanaʻo. E hoʻoponopono ka hui i nā hewa.|He aha ka ʻōlelo a kēia pauku e pili ana i ke Akua a i ʻole Iesu?|He aha ka ʻōlelo a kēia paukū e pili ana i nā kānaka?|Inā he ʻoiaʻiʻo kēia pauku, he aha ka hana e hoʻololi ai i kēia pule?|Na wai ʻoe e haʻi i kēia moʻolelo i kēia pule?|He aha nā pono e hiki ai iā mākou ke hālāwai i ke kaiāulu i kēia pule?|I ka manawa hea ʻoe makemake e hui hou?|Haʻawina Baibala ʻIke|Kūkākūkā me nā hoa|Makemake ʻoe e ʻike me kāu mau hoaaloha i ke ʻano o ke Akua a me ka makemake o ke Akua e ola ai ʻoe?|Eia kekahi mau nīnau e hoʻomaka ai kāu kūkākūkā.||Makemake ʻoe e ʻike iā ʻoe iho i ke ʻano o ke Akua a me ka makemake o ke Akua e ola ai ʻoe?|Makemake ka hapa nui o ka poʻe e hana i kēia mau ʻike ma kahi hui me kā lākou mau hoaaloha.|E koho i ke alahele|Ka hoomaka ana|Ka Kihapai|Ka Koho|Aberahama|10 Kauoha|Na mohai no ka hewa|Kauwa ehaeha|Hanau o Iesu|Bapetizo ia Iesu|Nikodemo|Wahine Samaria|Kanaka lolo|Ka makani ino|He kanaka i uluhia e na daimonio|ʻO Lazaro|Ka Olelo|Hopuia|Hookolokolo o Iesu|Kaulia ma ke kea|Alahouana|Lawe ʻia|Nā pane|Kaiāulu
Hebrew|hbr00|he|הסתכל אחורה|חפש למעלה|הסתכל קדימה|על מה אתה אסיר תודה השבוע?|במה אתה מתמודד ואיך אנחנו יכולים לעזור?|איך מימשת את הכתוב/סיפור שלמדנו בפעם האחרונה שנפגשנו?|עם מי שיתפת את השיעור בשבוע שעבר ואיך זה הלך?|על אילו צרכים ענית בקהילה בשבוע שעבר?|בקשו ממישהו לקרוא את הקטע פסקה אחת בכל פעם.|בקש מחבר קבוצה לספר זאת במילים שלו.|שאלו את הקבוצה אם הוסיפו משהו או השאירו משהו בחוץ.|כשתסיים עם כל הפסקאות, בקש ממישהו בקבוצה לספר את כל הסיפור לפי זיכרון. בקש מהקבוצה לתקן שגיאות.|מה אומר לנו הקטע הזה על אלוהים או ישוע?|מה הקטע הזה אומר לנו על אנשים?|אם הקטע הזה נכון, איזו התנהגות עלינו לשנות השבוע?|למי תספר את הסיפור הזה השבוע?|באילו צרכים נוכל לענות בקהילה השבוע?|מתי אתה רוצה להיפגש שוב?|מחקר תנ"ך Discovery|דיון עם חברים|האם תרצה לגלות עם חבריך איך אלוהים הוא ואיך אלוהים רוצה שתחיה?|הנה כמה שאלות כדי להתחיל את הדיון שלך.||האם היית רוצה לגלות בעצמך איך אלוהים הוא ואיך אלוהים רוצה שתחיה?|רוב האנשים אוהבים לגלות את התגליות האלה בקבוצה עם החברים שלהם.|בחר מעבר|ההתחלה|הגן|הבחירה|אַבְרָהָם|10 הדברות|מנחות לחטא|משרת סבל|לידתו של ישו|הטבילה של ישוע|נקדימון|אישה שומרונית|אדם משותק|הסערה|אדם בעל שדים|לזרוס|המילה|נֶעצָר|משפטו של ישוע|צָלוּב|תְקוּמָה|נלקח|תגובות|קהילה
Hindi|hnd00|hi|पीछे देखना|ऊपर देखो|आशा करना|इस सप्ताह आप किस चीज़ के लिए आभारी हैं?|आप किससे जूझ रहे हैं और हम कैसे मदद कर सकते हैं?|पिछली बार जब हम मिले थे तो हमने जो धर्मग्रंथ/कहानी पढ़ी थी, उसे आपने कैसे व्यवहार में लाया?|आपने पिछले सप्ताह का पाठ किसके साथ साझा किया और यह कैसे हुआ?|पिछले सप्ताह आपने समुदाय में क्या ज़रूरतें पूरी कीं?|किसी को एक बार में एक अनुच्छेद पढ़ने के लिए कहें।|समूह के किसी सदस्य को इसे अपने शब्दों में बताने को कहें।|समूह से पूछें कि क्या उन्होंने कुछ जोड़ा है या कुछ छोड़ा है।|जब आप सभी अनुच्छेदों को पूरा कर लें, तो समूह में किसी से पूरी कहानी याद करके बताने के लिए कहें। समूह से किसी भी त्रुटि को ठीक करने को कहें।|यह अनुच्छेद हमें ईश्वर या यीशु के बारे में क्या बताता है?|यह अनुच्छेद हमें लोगों के बारे में क्या बताता है?|यदि यह परिच्छेद सत्य है, तो इस सप्ताह हमें कौन सा व्यवहार बदलना चाहिए?|इस सप्ताह आप यह कहानी किसे सुनाएँगे?|इस सप्ताह हम समुदाय में किन जरूरतों को पूरा कर सकते हैं?|आप दोबारा कब मिलना चाहते हैं?|डिस्कवरी बाइबिल अध्ययन|दोस्तों के साथ चर्चा करें|क्या आप अपने दोस्तों के साथ यह जानना चाहेंगे कि ईश्वर कैसा है और ईश्वर आपको कैसे जीना चाहता है?|आपकी चर्चा शुरू करने के लिए यहां कुछ प्रश्न दिए गए हैं।||क्या आप स्वयं जानना चाहेंगे कि ईश्वर कैसा है और ईश्वर आपको कैसे जीना चाहता है?|अधिकांश लोग इन खोजों को अपने दोस्तों के साथ एक समूह में करना पसंद करते हैं।|पैसेज का चयन करें|शुरुआत|बगीचा|विकल्प|अब्राहम|10 आज्ञाएँ|पाप के लिए प्रसाद|पीड़ित नौकर|यीशु का जन्म|यीशु का बपतिस्मा|निकुदेमुस|सामरी स्त्री|लकवाग्रस्त आदमी|तूफान|एक राक्षस-ग्रस्त आदमी|लाजास्र्स|शब्द|गिरफ्तार|यीशु का परीक्षण|क्रूस पर चढ़ाया गया|जी उठने|हाथ में लिया|प्रतिक्रियाओं|समुदाय
