language.EnglishName|language.hlCode|language.google|menu.next|menu.nextVideo|menu.previous|menu.select|menu.videoSegment|menu.language|index.para.1|index.para.2|dbs.title|dbs.para.1|dbs.para.2|dbs.para.3|life.title|life.para.1|life.para.2|life.para.3|life.para.4|jVideo.title|jVideo.para.1|jVideo.para.2|lead.title|lead.para.1|lead.para.2|lead.para.3
Haitian Creole|hat00|ht|Next|Next Videyo|Previous|Chwazi|Segman videyo|Chwazi Lang|Kwasans espirityèl se pa yon vwayaj solo - li rive nan kominote a. Nou tout bezwen sajès nou ka fè konfyans ak moun ki ankouraje nou sou wout la. Leson ki anba yo pral ede w dekouvri ki jan sajès Bondye fòme lavi, bati relasyon otantik, ak revele lanmou li ak swen pou ou.|Rasanble zanmi ou yo epi kòmanse eksplore! Klike sou imaj ki anba yo pou kòmanse vwayaj ou - dekouvri pa sèlman sajès, men yon relasyon ak Bondye ak kominote espirityèl li envite ou nan.|Dekouvri kominote espirityèl|Discovering Spiritual Community mennen w nan yon vwayaj nan listwa, eksplore fason moun te konekte ak Bondye depi nan kòmansman an—atravè defi, kesyon, ak moman ki chanje lavi yo. Si w se kirye sou lafwa, objektif, ak sa sa vle di fè pati, seri sa a se yon bon kote pou kòmanse.|Rasanble zanmi w yo epi li kijan Bondye te prepare moun pou rive Jezi ak kominote espirityèl li te kòmanse a.|Chwazi lang ou pi renmen lè w klike sou glòb mondyal ki anwo a.|Pwoblèm lavi|Life Issues eksplore ansèyman pratik Jezi ak premye disip li yo — sajès ki chanje lavi pandan plizyè syèk. Anpil moun te fè eksperyans transfòmasyon lè yo envite Jezi pou l ede yo viv verite sa yo. Èske sa ta ka vre pou ou tou?|Rasanble zanmi ou yo epi wè sa ou dekouvri pandan w ap diskite kesyon sa yo.|Rasanble zanmi ou yo epi wè sa ou dekouvri pandan w ap diskite kesyon sa yo.|Chwazi lang ou pi renmen lè w klike sou glòb mondyal ki anwo a.|Lavi Jezi a|Pawòl Jezi yo ak aksyon yo te fòme istwa, yo ofri yon sajès ki kanpe apa. Pandan w ap gade videyo sa a, mande tèt ou: Ki sa Jezi te anseye? Ki jan bon konprann li konpare ak sa lòt moun te di - e ki sa li ka vle di pou ou?|Videyo sa a disponib nan plizyè lang. Pou chanje lang, klike sou glòb mondyal ki anlè a.|Dekouvri Lidèchip|Dekouvri Lidèchip yo eksplore prensip Jezi te anseye dirijan li yo — sajès ki te fòme lidèchip ki gen kè sèvitè pandan plizyè jenerasyon. Anpil moun te fè eksperyans transfòmasyon lè yo konte sou Jezi pou l ede yo dirije ak objektif ak entegrite. Èske sa ka fòme lidèchip ou tou?|Rasanble zanmi ou yo epi wè sa ou dekouvri pandan w ap diskite kesyon sa yo.|Chwazi lang ou pi renmen lè w klike sou glòb mondyal ki anwo a.
Hausa|hua00|ha|Na gaba|Bidiyo na gaba|A baya|Zaɓi|Bangaren Bidiyo|Zaɓi Harshe|Ci gaban ruhaniya ba tafiya ba ce kawai - yana faruwa a cikin al'umma. Dukanmu muna buƙatar hikima da za mu iya dogara da mutanen da suke ƙarfafa mu a hanya. Darussan da ke ƙasa za su taimake ka ka gano yadda hikimar Allah ke siffanta rayuwa, gina dangantaka ta gaskiya, da kuma bayyana ƙauna da kulawarsa a gare ka.|Tara abokanka kuma fara bincike! Danna kan Hotunan da ke ƙasa don fara tafiyarku - gano ba hikima ba kawai, amma dangantaka da Allah da al'ummar ruhaniya da yake gayyatar ku zuwa ciki.|Gano Al'ummar Ruhaniya|Gano Al'umma ta Ruhaniya yana ɗaukar ku cikin tafiya cikin tarihi, bincika yadda mutane suka yi alaƙa da Allah tun daga farko - ta ƙalubale, tambayoyi, da lokuta masu canza rayuwa. Idan kuna sha'awar bangaskiya, manufa, da abin da ake nufi da kasancewa, wannan silsilar wuri ne mai kyau don farawa.|Ka tara abokanka ka karanta yadda Allah ya shirya mutane don zuwan Yesu da kuma rukunin ruhaniya da ya soma.|Zaɓi harshen da kuka fi so ta danna kan duniyar duniyar da ke sama.|Batutuwan Rayuwa|Batutuwan rayuwa sun bincika koyarwa mai amfani na Yesu da mabiyansa na farko—hikima da ta canza rayuwa shekaru aru-aru. Mutane da yawa sun sami canji ta wajen gayyatar Yesu ya taimaka musu su bi da waɗannan gaskiyar. Wannan zai iya zama gaskiya gare ku kuma?|Ka tara abokanka kuma ka ga abin da ka gano yayin da kake tattauna waɗannan tambayoyin.|Ka tara abokanka kuma ka ga abin da ka gano yayin da kake tattauna waɗannan tambayoyin.|Zaɓi harshen da kuka fi so ta danna kan duniyar duniyar da ke sama.|Rayuwar Yesu|Kalmomin Yesu da ayyukansa sun tsara tarihi, suna ba da hikima da ta bambanta. Yayin da kuke kallon wannan bidiyon, ku tambayi kanku: Menene Yesu ya koyar? Ta yaya hikimarsa ta kwatanta da abin da wasu suka faɗa — kuma mene ne hakan zai iya nufi a gare ku?|Ana samun wannan bidiyon a cikin yaruka da yawa. Don canza harshe danna duniyar duniyar da ke sama.|Gano Jagoranci|Gano Jagoranci yana bincika ƙa'idodin da Yesu ya koyar da shugabanninsa - hikimar da ta haifar da jagoranci na zuciya na bawa na tsararraki. Mutane da yawa sun sami canji ta wajen dogara ga Yesu ya taimaka musu su yi ja-gora da manufa da aminci. Wannan zai iya siffanta shugabancin ku kuma?|Ka tara abokanka kuma ka ga abin da ka gano yayin da kake tattauna waɗannan tambayoyin.|Zaɓi harshen da kuka fi so ta danna kan duniyar duniyar da ke sama.
Hawaiian|haw98|haw|Aʻe|Video aʻe|Mamua|E koho|Māhele wikiō|E koho i ka ʻōlelo|ʻAʻole kahi huakaʻi hele kaʻawale ka ulu ʻuhane - hiki i ke kaiāulu. Pono mākou a pau i ka naʻauao hiki iā mākou ke hilinaʻi a me nā poʻe e paipai iā mākou ma ke ala. Na nā haʻawina ma lalo nei e kōkua iā ʻoe e ʻike i ke ʻano o ka naʻauao o ke Akua i hoʻohālikelike ai i ke ola, kūkulu i nā pilina maoli, a hōʻike i kona aloha a mālama iā ʻoe.|E hōʻuluʻulu i kāu mau hoaaloha a hoʻomaka e ʻimi! Kaomi i nā kiʻi ma lalo nei e hoʻomaka i kāu huakaʻi - ʻaʻole ʻike wale i ka naʻauao, akā i kahi pilina me ke Akua a me ke kaiāulu ʻuhane āna i kono ai iā ʻoe.|ʻIke ʻana i ke Kaiaulu ʻuhane|ʻO ka Discovering Spiritual Community e alakaʻi iā ʻoe i kahi huakaʻi ma ka mōʻaukala, e ʻimi ana i ka pili ʻana o nā kānaka me ke Akua mai kinohi mai—ma o nā pilikia, nā nīnau, a me nā manawa hoʻololi i ke ola. Inā makemake ʻoe e pili ana i ka manaʻoʻiʻo, ke kumu, a me ke ʻano o ke komo ʻana, he wahi maikaʻi kēia moʻo e hoʻomaka ai.|E hōʻuluʻulu i kāu mau hoaaloha a heluhelu i ka hoʻomākaukau ʻana o ke Akua i nā kānaka no ka hiki ʻana mai o Iesū a me ke kaiāulu ʻuhane āna i hoʻomaka ai.|E koho i kāu ʻōlelo punahele ma ke kaomi ʻana i ka honua honua ma luna.|Nā Pili Ola|Ke ʻimi nei ʻo Life Issues i nā ʻōlelo aʻo pono a Iesu a me kāna poʻe hahai mua - naʻauao i hoʻololi i ke ola no nā kenekulia. Nui ka poʻe i ʻike i ka hoʻololi ʻana ma ke kono ʻana iā Iesu e kōkua iā lākou e ola i kēia mau ʻoiaʻiʻo. He ʻoiaʻiʻo paha kēia iā ʻoe?|E hōʻuluʻulu i kāu mau hoaaloha a ʻike i nā mea āu i ʻike ai i kāu kūkākūkā ʻana i kēia mau nīnau.|E hōʻuluʻulu i kāu mau hoaaloha a ʻike i nā mea āu i ʻike ai i kāu kūkākūkā ʻana i kēia mau nīnau.|E koho i kāu ʻōlelo punahele ma ke kaomi ʻana i ka honua honua ma luna.|Ke ola o Iesu|Ua hoʻokumu ka ʻōlelo a me nā hana a Iesu i ka mōʻaukala, e hāʻawi ana i kahi naʻauao kū ʻokoʻa. Ke nānā nei ʻoe i kēia wikiō, e nīnau iā ʻoe iho: He aha kā Iesu i aʻo ai? Pehea ka hoʻohālikelike ʻana o kona naʻauao i ka mea a nā poʻe ʻē aʻe i ʻōlelo ai - a he aha ke ʻano o ia mea iā ʻoe?|Loaʻa kēia wikiō ma nā ʻōlelo he nui. No ka hoʻololi ʻana i ka ʻōlelo, kaomi i ka honua honua ma luna.|ʻIke ʻana i ke alakaʻi|Ke ʻimi nei ʻo Discovering Leadership i nā loina a Iesu i aʻo ai i kāna mau alakaʻi - ʻo ka naʻauao i hoʻokumu i ke alakaʻi puʻuwai kauā no nā hanauna. Nui ka poʻe i ʻike i ka hoʻololi ʻana ma o ka hilinaʻi ʻana iā Iesū e kōkua iā lākou e alakaʻi me ke kumu a me ka pololei. Hiki paha kēia i kāu alakaʻi?|E hōʻuluʻulu i kāu mau hoaaloha a ʻike i nā mea āu i ʻike ai i kāu kūkākūkā ʻana i kēia mau nīnau.|E koho i kāu ʻōlelo punahele ma ke kaomi ʻana i ka honua honua ma luna.
Hebrew|hbr00|he|הַבָּא|הסרטון הבא|קוֹדֵם|לִבחוֹר|קטע וידאו|בחר שפה|צמיחה רוחנית היא לא מסע סולו - זה קורה בקהילה. כולנו צריכים חוכמה שאנחנו יכולים לסמוך עליה ולאנשים שמעודדים אותנו לאורך כל הדרך. השיעורים שלהלן יעזרו לך לגלות כיצד חוכמתו של אלוהים מעצבת חיים, בונה מערכות יחסים אמיתיות וחושפת את אהבתו ואכפתו כלפיך.|אספו את החברים שלכם והתחילו לחקור! לחץ על התמונות למטה כדי להתחיל את המסע שלך - לגלות לא רק חוכמה, אלא מערכת יחסים עם אלוהים והקהילה הרוחנית שהוא מזמין אותך אליה.|גילוי קהילה רוחנית|גילוי הקהילה הרוחנית לוקח אותך למסע בהיסטוריה, בוחן כיצד אנשים התחברו לאלוהים מההתחלה - דרך אתגרים, שאלות ורגעים משנים חיים. אם אתה סקרן לגבי אמונה, מטרה ומה זה אומר להשתייך, הסדרה הזו היא מקום מצוין להתחיל בו.|אסוף את חבריך וקרא כיצד אלוהים הכין אנשים לבואו של ישוע והקהילה הרוחנית שהוא הקים.|בחר את השפה המועדפת עליך על ידי לחיצה על הגלובוס העולמי למעלה.|בעיות חיים|Life Issues בוחן את תורתו המעשית של ישוע וחסידיו הראשונים - חוכמה ששינתה חיים במשך מאות שנים. רבים חוו שינוי על ידי הזמנת ישוע לעזור להם לחיות את האמיתות הללו. האם זה יכול להיות נכון גם עבורך?|אסוף את החברים שלך וראה מה אתה מגלה כשאתה דנה בשאלות הבאות.|אסוף את החברים שלך וראה מה אתה מגלה כשאתה דנה בשאלות הבאות.|בחר את השפה המועדפת עליך על ידי לחיצה על הגלובוס העולמי למעלה.|חייו של ישו|דבריו ומעשיו של ישוע עיצבו את ההיסטוריה, ומציעים חוכמה ניצבת בפני עצמה. בזמן שאתה צופה בסרטון זה, שאל את עצמך: מה לימד ישוע? איך חוכמתו משתווה למה שאמרו אחרים - ומה זה יכול להיות עבורך?|סרטון זה זמין בשפות רבות. כדי לשנות את השפה לחץ על כדור העולם למעלה.|גילוי מנהיגות|גילוי מנהיגות חוקר את העקרונות שישוע לימד את מנהיגיו - חוכמה שעיצבה מנהיגות לב משרתים במשך דורות. רבים חוו שינוי על ידי הסתמכות על ישוע שיעזור להם להוביל במטרה ויושרה. האם זה יכול לעצב גם את המנהיגות שלך?|אסוף את החברים שלך וראה מה אתה מגלה כשאתה דנה בשאלות הבאות.|בחר את השפה המועדפת עליך על ידי לחיצה על הגלובוס העולמי למעלה.
Hindi|hnd00|hi|अगला|अगला वीडियो|पहले का|चुनना|वीडियो खंड|भाषा चुने|आध्यात्मिक विकास कोई एकल यात्रा नहीं है - यह समुदाय में होता है। हम सभी को ऐसे ज्ञान की आवश्यकता है जिस पर हम भरोसा कर सकें और ऐसे लोगों की आवश्यकता है जो हमें प्रोत्साहित करें। नीचे दिए गए पाठ आपको यह जानने में मदद करेंगे कि भगवान की बुद्धि कैसे जीवन को आकार देती है, वास्तविक रिश्ते बनाती है, और आपके लिए उनके प्यार और देखभाल को प्रकट करती है।|अपने दोस्तों को इकट्ठा करें और खोजबीन शुरू करें! अपनी यात्रा शुरू करने के लिए नीचे दी गई छवियों पर क्लिक करें - न केवल ज्ञान की खोज, बल्कि ईश्वर और उस आध्यात्मिक समुदाय के साथ संबंध की खोज करें जिसमें वह आपको आमंत्रित करता है।|आध्यात्मिक समुदाय की खोज|आध्यात्मिक समुदाय की खोज आपको इतिहास की यात्रा पर ले जाती है, यह खोजते हुए कि कैसे लोग शुरू से ही चुनौतियों, सवालों और जीवन बदलने वाले क्षणों के माध्यम से भगवान से जुड़े रहे हैं। यदि आप आस्था, उद्देश्य और इससे संबंधित होने के अर्थ के बारे में उत्सुक हैं, तो यह श्रृंखला शुरू करने के लिए एक बेहतरीन जगह है।|अपने दोस्तों को इकट्ठा करें और पढ़ें कि कैसे भगवान ने लोगों को यीशु के आगमन और उनके द्वारा शुरू किए गए आध्यात्मिक समुदाय के लिए तैयार किया।|ऊपर विश्व ग्लोब पर क्लिक करके अपनी पसंदीदा भाषा चुनें।|जीवन के मुद्दे|लाइफ इश्यूज़ यीशु और उनके शुरुआती अनुयायियों की व्यावहारिक शिक्षाओं की पड़ताल करता है - वह ज्ञान जिसने सदियों से जीवन बदल दिया है। कई लोगों ने इन सच्चाइयों को जीने में मदद करने के लिए यीशु को आमंत्रित करके परिवर्तन का अनुभव किया है। क्या ये आपके लिए भी सच हो सकता है?|अपने दोस्तों को इकट्ठा करें और देखें कि निम्नलिखित प्रश्नों पर चर्चा करते समय आपको क्या पता चलता है।|अपने दोस्तों को इकट्ठा करें और देखें कि निम्नलिखित प्रश्नों पर चर्चा करते समय आपको क्या पता चलता है।|ऊपर विश्व ग्लोब पर क्लिक करके अपनी पसंदीदा भाषा चुनें।|यीशु का जीवन|यीशु के शब्दों और कार्यों ने इतिहास को आकार दिया है, एक ऐसा ज्ञान प्रदान किया है जो अलग दिखता है। जब आप यह वीडियो देखें, तो अपने आप से पूछें: यीशु ने क्या सिखाया? दूसरों ने जो कहा है उसकी तुलना में उसकी बुद्धि कैसी है - और इसका आपके लिए क्या अर्थ हो सकता है?|यह वीडियो कई भाषाओं में उपलब्ध है. भाषा बदलने के लिए ऊपर विश्व ग्लोब पर क्लिक करें।|नेतृत्व की खोज|डिस्कवरिंग लीडरशिप उन सिद्धांतों की खोज करती है जो यीशु ने अपने नेताओं को सिखाए थे - वह ज्ञान जिसने पीढ़ियों से सेवक-हृदय नेतृत्व को आकार दिया है। कई लोगों ने उद्देश्य और ईमानदारी के साथ नेतृत्व करने में मदद के लिए यीशु पर भरोसा करके परिवर्तन का अनुभव किया है। क्या यह आपके नेतृत्व को भी आकार दे सकता है?|अपने दोस्तों को इकट्ठा करें और देखें कि निम्नलिखित प्रश्नों पर चर्चा करते समय आपको क्या पता चलता है।|ऊपर विश्व ग्लोब पर क्लिक करके अपनी पसंदीदा भाषा चुनें।
Hmong|mww01|hmn|Tom ntej no|Tom ntej Video|Yav dhau los|Xaiv|Video Ntu|Xaiv hom lus|Kev loj hlob ntawm sab ntsuj plig tsis yog kev taug kev ib leeg - nws tshwm sim hauv zej zog. Peb txhua tus xav tau kev txawj ntse peb tuaj yeem tso siab tau thiab cov neeg uas txhawb nqa peb ntawm txoj kev. Cov lus qhia hauv qab no yuav pab koj pom tias Vajtswv txoj kev txawj ntse tsim lub neej li cas, tsim kev sib raug zoo tiag tiag, thiab qhia Nws txoj kev hlub thiab kev saib xyuas rau koj.|Sau koj cov phooj ywg thiab pib tshawb nrhiav! Nyem rau ntawm cov duab hauv qab no los pib koj txoj kev taug - nrhiav tsis yog kev txawj ntse xwb, tab sis kev sib raug zoo nrog Vajtswv thiab cov zej zog sab ntsuj plig Nws caw koj los rau hauv.|Discovering Spiritual Community|Kev Tshawb Fawb Hauv Zej Zog yuav coj koj mus rau kev taug kev dhau los ntawm keeb kwm, tshawb nrhiav seb tib neeg tau txuas nrog Vajtswv li cas txij thaum pib—los ntawm kev sib tw, lus nug, thiab lub sijhawm hloov lub neej. Yog tias koj xav paub txog kev ntseeg, lub hom phiaj, thiab nws txhais li cas los koom nrog, cov koob no yog qhov chaw zoo pib.|Sau koj cov phooj ywg thiab nyeem seb Vajtswv tau npaj tib neeg li cas rau kev tuaj txog ntawm Yexus thiab lub zej zog ntawm sab ntsuj plig nws tau pib.|Xaiv cov lus koj nyiam los ntawm txhaj rau lub ntiaj teb lub ntiaj teb saum toj no.|Teeb meem lub neej|Lub Neej Teebmeem tshawb txog Yexus cov lus qhia thiab nws cov thwjtim thaum ntxov - kev txawj ntse uas tau hloov lub neej rau ntau pua xyoo. Ntau tus tau ntsib kev hloov pauv los ntawm kev caw Yexus los pab lawv ua raws li qhov tseeb no. Qhov no puas muaj tseeb rau koj thiab?|Sau koj cov phooj ywg thiab saib seb koj nrhiav tau dab tsi thaum koj tham txog cov lus nug hauv qab no.|Sau koj cov phooj ywg thiab saib seb koj nrhiav tau dab tsi thaum koj tham txog cov lus nug hauv qab no.|Xaiv cov lus koj nyiam los ntawm txhaj rau lub ntiaj teb lub ntiaj teb saum toj no.|Yexus Lub Neej|Yexus cov lus thiab kev ua tau zoo li keeb kwm, muab kev txawj ntse uas sawv ntsug. Thaum koj saib daim vis dis aus no, nug koj tus kheej: Yexus qhia dab tsi? Nws lub tswv yim piv li cas rau lwm tus tau hais - thiab nws txhais li cas rau koj?|Daim vis dis aus no muaj ntau yam lus. Txhawm rau hloov cov lus nyem lub ntiaj teb lub ntiaj teb saum toj no.|Nrhiav Kev Ua Thawj Coj|Nrhiav Kev Ua Thawj Coj tshawb nrhiav cov hauv paus ntsiab lus uas Yexus tau qhia nws cov thawj coj - kev txawj ntse uas tau ua rau cov tub qhe zoo siab ua thawj coj rau ntau tiam neeg. Ntau tus tau ntsib kev hloov pauv los ntawm kev tso siab rau Yexus los pab lawv coj lub hom phiaj thiab kev ncaj ncees. Qhov no puas tuaj yeem txhim kho koj txoj kev coj noj coj ua thiab?|Sau koj cov phooj ywg thiab saib seb koj nrhiav tau dab tsi thaum koj tham txog cov lus nug hauv qab no.|Xaiv cov lus koj nyiam los ntawm txhaj rau lub ntiaj teb lub ntiaj teb saum toj no.
Hungarian|hng00|hu|Következő|Következő Videó|Előző|Válassza ki|Videó szegmens|Válassza a Nyelv lehetőséget|A spirituális növekedés nem egyéni utazás – közösségben történik. Mindannyiunknak szüksége van bölcsességre, amelyben megbízhatunk, és olyan emberekre, akik bátorítanak minket az utunk során. Az alábbi leckék segítenek felfedezni, hogy Isten bölcsessége hogyan alakítja az életet, hogyan épít ki őszinte kapcsolatokat, és hogyan nyilatkoztatja ki irántad való szeretetét és törődését.|Gyűjtsd össze barátaidat és kezdd el felfedezni! Kattints az alábbi képekre az utazás megkezdéséhez – nem csupán a bölcsesség felfedezésére, hanem az Istennel való kapcsolatra és az általa meghívott spirituális közösségre.|A spirituális közösség felfedezése|A Spirituális Közösség felfedezése egy történelmi utazásra visz, feltárva, hogyan kapcsolódnak az emberek Istenhez a kezdetektől – kihívásokon, kérdéseken és életet megváltoztató pillanatokon keresztül. Ha kíváncsi a hitre, a célokra és arra, hogy mit jelent az összetartozás, ez a sorozat remek kiindulópont.|Gyűjtsd össze barátaidat, és olvasd el, hogyan készítette fel Isten az embereket Jézus érkezésére és az általa indított lelki közösségre.|Válassza ki kedvenc nyelvét a fenti világgömbre kattintva.|Életproblémák|A Life Issues Jézus és korai követői gyakorlati tanításait tárja fel – ez a bölcsesség évszázadokon át megváltoztatta az életeket. Sokan megtapasztalták az átalakulást, amikor meghívták Jézust, hogy segítsen nekik megélni ezeket az igazságokat. Ez rád is igaz lehet?|Gyűjtsd össze barátaidat, és nézd meg, mit fedezel fel, miközben megbeszéled a következő kérdéseket.|Gyűjtsd össze barátaidat, és nézd meg, mit fedezel fel, miközben megbeszéled a következő kérdéseket.|Válassza ki kedvenc nyelvét a fenti világgömbre kattintva.|Jézus élete|Jézus szavai és tettei alakították a történelmet, és olyan bölcsességet kínálnak, amely elkülönül egymástól. A videó megtekintése közben tedd fel magadnak a kérdést: Mit tanított Jézus? Miben hasonlít az ő bölcsessége ahhoz, amit mások mondtak – és mit jelenthet ez számodra?|Ez a videó számos nyelven elérhető. A nyelv megváltoztatásához kattintson a fenti világgömbre.|A vezetés felfedezése|A vezetés felfedezése azokat az alapelveket tárja fel, amelyeket Jézus tanított a vezetőinek – ez a bölcsesség generációk óta formálta a szolgaszívű vezetést. Sokan megtapasztalták az átalakulást azáltal, hogy Jézusra támaszkodtak, hogy segítsen nekik céltudatos és feddhetetlen vezetésben. Ez alakíthatja az Ön vezetői szerepét is?|Gyűjtsd össze barátaidat, és nézd meg, mit fedezel fel, miközben megbeszéled a következő kérdéseket.|Válassza ki kedvenc nyelvét a fenti világgömbre kattintva.
Icelandic|Ice99|is|Næst|Næsta myndband|Fyrri|Veldu|Vídeóhluti|Veldu Tungumál|Andlegur vöxtur er ekki sólóferð - það gerist í samfélaginu. Við þurfum öll visku sem við getum treyst og fólk sem hvetur okkur í leiðinni. Lærdómarnir hér að neðan munu hjálpa þér að uppgötva hvernig viska Guðs mótar líf, byggir upp ósvikin sambönd og opinberar ást hans og umhyggju fyrir þér.|Safnaðu vinum þínum og byrjaðu að kanna! Smelltu á myndirnar hér að neðan til að hefja ferð þína - uppgötva ekki bara visku, heldur samband við Guð og andlega samfélagið sem hann býður þér inn í.|Að uppgötva andlegt samfélag|Discovering Spiritual Community tekur þig í ferðalag í gegnum söguna, kannar hvernig fólk hefur tengst Guði frá upphafi – í gegnum áskoranir, spurningar og lífsbreytandi augnablik. Ef þú ert forvitinn um trú, tilgang og hvað það þýðir að tilheyra, þá er þessi sería frábær staður til að byrja.|Safnaðu vinum þínum og lestu hvernig Guð undirbjó fólk fyrir komu Jesú og hið andlega samfélag sem hann stofnaði.|Veldu uppáhalds tungumálið þitt með því að smella á heimshnöttinn hér að ofan.|Lífsmál|Life Issues kannar hagnýtar kenningar Jesú og fyrstu fylgjenda hans - speki sem hefur breytt lífi um aldir. Margir hafa upplifað umbreytingu með því að bjóða Jesú að hjálpa sér að lifa eftir þessum sannleika. Gæti þetta verið satt hjá þér líka?|Safnaðu vinum þínum og sjáðu hvað þú uppgötvar þegar þú ræðir eftirfarandi spurningar.|Safnaðu vinum þínum og sjáðu hvað þú uppgötvar þegar þú ræðir eftirfarandi spurningar.|Veldu uppáhalds tungumálið þitt með því að smella á heimshnöttinn hér að ofan.|Líf Jesú|Orð og gjörðir Jesú hafa mótað söguna og boðið upp á speki sem stendur í sundur. Þegar þú horfir á þetta myndband skaltu spyrja sjálfan þig: Hvað kenndi Jesús? Hvernig er viska hans í samanburði við það sem aðrir hafa sagt - og hvað gæti það þýtt fyrir þig?|Þetta myndband er fáanlegt á mörgum tungumálum. Til að breyta tungumálinu smelltu á heimshnöttinn hér að ofan.|Að uppgötva forystu|Uppgötvun leiðtoga kannar þær meginreglur sem Jesús kenndi leiðtogum sínum - visku sem hefur mótað þjónandi-hjarta forystu í kynslóðir. Margir hafa upplifað umbreytingu með því að treysta á Jesú til að hjálpa þeim að leiða af tilgangi og ráðvendni. Gæti þetta mótað forystu þína líka?|Safnaðu vinum þínum og sjáðu hvað þú uppgötvar þegar þú ræðir eftirfarandi spurningar.|Veldu uppáhalds tungumálið þitt með því að smella á heimshnöttinn hér að ofan.
Igbo||ig||||||||||||||||||||||||
Ilocano||ilo||||||||||||||||||||||||
Indonesian|inz00|id|Berikutnya|Video Berikutnya|Sebelumnya|Memilih|Segmen Video|Pilih Bahasa|Pertumbuhan spiritual bukanlah sebuah perjalanan yang dilakukan sendirian – hal ini terjadi dalam komunitas. Kita semua membutuhkan kebijaksanaan yang dapat kita percayai dan orang-orang yang menyemangati kita selama ini. Pelajaran di bawah ini akan membantu Anda menemukan bagaimana hikmat Tuhan membentuk kehidupan, membangun hubungan yang sejati, dan mengungkapkan kasih serta perhatian-Nya kepada Anda.|Kumpulkan teman-teman Anda dan mulailah menjelajah! Klik pada gambar di bawah untuk memulai perjalanan Anda — menemukan bukan hanya kebijaksanaan, namun juga hubungan dengan Tuhan dan komunitas spiritual yang Dia undang untuk Anda masuki.|Menemukan Komunitas Spiritual|Menemukan Komunitas Spiritual membawa Anda pada perjalanan melalui sejarah, menjelajahi bagaimana manusia terhubung dengan Tuhan sejak awal—melalui tantangan, pertanyaan, dan momen yang mengubah hidup. Jika Anda penasaran tentang iman, tujuan, dan apa artinya menjadi bagian, seri ini adalah awal yang baik.|Kumpulkan teman-teman Anda dan bacalah bagaimana Tuhan mempersiapkan orang-orang untuk kedatangan Yesus dan komunitas spiritual yang Ia dirikan.|Pilih bahasa favorit Anda dengan mengklik globe dunia di atas.|Masalah Kehidupan|Life Issues mengeksplorasi ajaran praktis Yesus dan para pengikut awalnya — kebijaksanaan yang telah mengubah kehidupan selama berabad-abad. Banyak orang telah mengalami transformasi dengan mengundang Yesus untuk membantu mereka menghidupi kebenaran ini. Apakah ini juga berlaku bagi Anda?|Kumpulkan teman-teman Anda dan lihat apa yang Anda temukan saat Anda mendiskusikan pertanyaan-pertanyaan berikut.|Kumpulkan teman-teman Anda dan lihat apa yang Anda temukan saat Anda mendiskusikan pertanyaan-pertanyaan berikut.|Pilih bahasa favorit Anda dengan mengklik globe dunia di atas.|Kehidupan Yesus|Kata-kata dan tindakan Yesus telah membentuk sejarah, menawarkan hikmah yang berbeda. Saat Anda menonton video ini, tanyakan pada diri Anda: Apa yang Yesus ajarkan? Bagaimana kebijaksanaannya dibandingkan dengan apa yang dikatakan orang lain — dan apa pengaruhnya bagi Anda?|Video ini tersedia dalam banyak bahasa. Untuk mengubah bahasa klik globe dunia di atas.|Menemukan Kepemimpinan|Discovering Leadership mengeksplorasi prinsip-prinsip yang Yesus ajarkan kepada para pemimpinnya — kebijaksanaan yang telah membentuk kepemimpinan yang berhati pelayan selama beberapa generasi. Banyak orang telah mengalami transformasi dengan mengandalkan Yesus untuk membantu mereka memimpin dengan tujuan dan integritas. Bisakah hal ini juga membentuk kepemimpinan Anda?|Kumpulkan teman-teman Anda dan lihat apa yang Anda temukan saat Anda mendiskusikan pertanyaan-pertanyaan berikut.|Pilih bahasa favorit Anda dengan mengklik globe dunia di atas.
