Json|language_hl|language_google|next|previous|read|read_twice|read_more|read_or_watch|summary|teaching|video_segment|watch_online
Lithuanian|lit00|lt|Kitas|Ankstesnis|Skaityti {{XXX}}|Skaitykite {{XXX}} du kartus, kol kiti klausosi.|Skaityti Daugiau|Skaitykite arba žiūrėkite {{XXX}} du kartus, kol visi klausys|Santrauka|Mokymas|Vaizdo įrašo segmentas|Žiūrėkite {{XXX}} internete
Luganda|lap00|lg|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Luxembourgish|lux777|lb|Nächst|Virdrun|Liesen {{XXX}}|Liest {{XXX}} zweemol wéi anerer nolauschteren.|Weiderliesen Méi|Liest oder kuckt {{XXX}} zweemol wéi jiddereen nolauschtert|Resumé|Unterrécht|Video Segment|Kuckt {{XXX}} online
Macedonian|mkj00|mk|Следно|Претходна|Читај {{XXX}}|Читајте го {{XXX}} два пати додека другите слушаат.|Прочитај повеќе|Читајте или гледајте го {{XXX}} два пати додека сите слушаат|Резиме|Настава|Видео сегмент|Гледајте го {{XXX}} онлајн
Maithili||mai|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Malagasy|plt00|mg|Manaraka|Teo aloha|Vakio {{XXX}}|Vakio indroa {{XXX}} rehefa mihaino ny hafa.|Hamaky bebe kokoa|Vakio na jereo indroa ny {{XXX}} rehefa mihaino ny rehetra|FAMINTINANA|fampianarana|Segment Video|Jereo {{XXX}} an-tserasera
Malay|mli00|ms|Seterusnya|Sebelumnya|Baca {{XXX}}|Baca {{XXX}} dua kali sambil orang lain mendengar.|Baca Lagi|Baca atau tonton {{XXX}} dua kali sambil semua orang mendengar|Ringkasan|Mengajar|Segmen Video|Tonton {{XXX}} dalam talian
Malayalam|mjs00|ml|അടുത്തത്|മുമ്പത്തെ|{{XXX}} വായിക്കുക|മറ്റുള്ളവർ കേൾക്കുന്നത് പോലെ {{XXX}} രണ്ട് തവണ വായിക്കുക.|കൂടുതൽ വായിക്കുക|എല്ലാവരും കേൾക്കുന്നതുപോലെ {{XXX}} രണ്ട് തവണ വായിക്കുക അല്ലെങ്കിൽ കാണുക|സംഗ്രഹം|പഠിപ്പിക്കൽ|വീഡിയോ വിഭാഗം|{{XXX}} ഓൺലൈനിൽ കാണുക
Maltese|mal99|mt|Li jmiss|Preċedenti|Aqra {{XXX}}|Aqra {{XXX}} darbtejn hekk kif oħrajn jisimgħu.|Aqra Aktar|Aqra jew ara {{XXX}} darbtejn hekk kif kulħadd jisma'|Sommarju|Tagħlim|Segment tal-vidjo|Ara {{XXX}} onlajn
Maori|mbf00|mi|Whai muri|Tuhinga o mua|Panui {{XXX}}|Pānuihia {{XXX}} kia rua nga wa ka whakarongo etahi.|Pānuitia atu|Pānuihia, mātakihia rānei {{XXX}} kia rua nga wa e whakarongo ana te katoa|Whakarāpopototanga|Te whakaako|Waahanga Ataata|Matakitaki i te {{XXX}} ipurangi
Marathi|mrt00|mr|पुढे|मागील|{{XXX}} वाचा|इतरांनी ऐकले म्हणून {{XXX}} दोन वेळा वाचा.|अधिक वाचा|प्रत्येकजण ऐकत असताना {{XXX}} दोन वेळा वाचा किंवा पहा|सारांश|शिकवणे|व्हिडिओ विभाग|{{XXX}} ऑनलाइन पहा
Meiteilon (Manipuri)||mni-Mtei|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Mizo||lus|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Mongolian|khk00|mn|Дараа нь|Өмнөх|{{XXX}}-г унших|Бусад хүмүүс сонсож байхад {{XXX}}-г хоёр удаа унш.|Дэлгэрэнгүй унших|Хүн бүр сонсож байхад {{XXX}}-г хоёр удаа уншиж эсвэл үзээрэй|Дүгнэлт|Багшлах|Видео сегмент|{{XXX}}-г онлайнаар үзэх
Myanmar (Burmese)|bms00|my|နောက်တစ်ခု|အရင်|{{XXX}} ဖတ်ရန်|အခြားသူများ နားထောင်သကဲ့သို့ {{XXX}} နှစ်ခါဖတ်ပါ။|ပိုပြီးဖတ်ပါ|လူတိုင်းနားထောင်သည်နှင့် {{XXX}} နှစ်ကြိမ်ဖတ်ပါ သို့မဟုတ် ကြည့်ရှုပါ။|အကျဉ်းချုပ်|သင်ကြားခြင်း။|ဗီဒီယို အပိုင်း|{{XXX}} အွန်လိုင်းတွင် ကြည့်ရှုပါ။
Nepali|nep00|ne|अर्को|अघिल्लो|पढ्नुहोस् {{XXX}}|अरूले सुनेको रूपमा {{XXX}} दुई पटक पढ्नुहोस्।|थप पढ्नुहोस्|सबैले सुन्दा {{XXX}} दुई पटक पढ्नुहोस् वा हेर्नुहोस्|सारांश|अध्यापन|भिडियो खण्ड|{{XXX}} अनलाइन हेर्नुहोस्
Norwegian|nor99|no|Neste|Tidligere|Les {{XXX}}|Les {{XXX}} to ganger mens andre lytter.|Les mer|Les eller se {{XXX}} to ganger mens alle lytter|Sammendrag|Undervisning|Videosegment|Se {{XXX}} på nettet
Nyanja (Chichewa)|nyj00|ny|Ena|Zam'mbuyo|Werengani {{XXX}}|Werengani {{XXX}} kawiri pamene ena akumvetsera.|Werengani zambiri|Werengani kapena onerani {{XXX}} kawiri aliyense akumvetsera|Chidule|Kuphunzitsa|Gawo lamavidiyo|Onerani {{XXX}} pa intaneti
Odia (Oriya)||or|ପରବର୍ତ୍ତୀ|ପୂର୍ବ|{{XXX} Read ପ Read ନ୍ତୁ ||ଅନ୍ୟମାନେ ଶୁଣିବା ସମୟରେ {{XXX}} ଦୁଇଥର ପ Read ନ୍ତୁ ||ଅଧିକ ପ Read ନ୍ତୁ ||ସମସ୍ତେ ଶୁଣୁଥିବା ପରି {{XXX}} ଦୁଇଥର ପ or ନ୍ତୁ କିମ୍ବା ଦେଖନ୍ତୁ ||ସାରାଂଶ|ଶିକ୍ଷାଦାନ|ଭିଡିଓ ସେଗମେଣ୍ଟ ||ଅନଲାଇନରେ {{XXX}} ଦେଖନ୍ତୁ |
Oromo||om|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Pashto|pbu00|ps|بل|مخکینی|ولولئ {{XXX}}|{{XXX}} دوه ځله ولولئ لکه څنګه چې نور اوري.|نور ولولئ|{{XXX}} دوه ځله ولولئ یا وګورئ لکه څنګه چې هرڅوک اوري|لنډیز|درس ورکول|د ویډیو برخه|{{XXX}} آنلاین وګورئ
Persian|pes00|fa|بعدی|قبلی|خواندن {{XXX}}|{{XXX}} را دو بار بخوانید که دیگران گوش می‌کنند.|ادامه مطلب|{{XXX}} را دو بار بخوانید یا تماشا کنید تا همه گوش کنند|خلاصه|تدریس|بخش ویدیو|{{XXX}} را بصورت آنلاین تماشا کنید
Polish|pql00|pl|Następny|Poprzedni|Przeczytaj {{XXX}}|Przeczytaj {{XXX}} dwa razy, podczas gdy inni słuchają.|Przeczytaj więcej|Przeczytaj lub obejrzyj {{XXX}} dwa razy, tak aby wszyscy słuchali|Streszczenie|Nauczanie|Segment wideo|Oglądaj {{XXX}} online
Portuguese (Portugal, Brazil)|por05|pt|Próximo|Anterior|Leia {{XXX}}|Leia {{XXX}} duas vezes enquanto os outros ouvem.|Leia mais|Leia ou assista {{XXX}} duas vezes enquanto todos ouvem|Resumo|Ensino|Segmento de vídeo|Assista {{XXX}} on-line
