language.title|language.hlCode|language.google|look_back.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_up.title|look_up.instruction.1|look_up.instruction.2|look_up.instruction.3|look_up.question.1|look_up.question.2|look_up.question.3|look_forward.title|look_forward.question.1|look_forward.question.2|look_forward.question.3|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|question.1|question.2|question.3|question.4|question.5|question.6|question.7|question.8|question.9|question.10|question.11|question.12|question.13|question.14|question.15|question.16|question.17|question.18|question.19|question.20|question.21|question.22|question.23|read_more|timing|notes.lookback|notes.lookup|notes.lookforward
Corsican||co|Fighjate in daretu|Chì ti ringraziu è ciò chì hè stata sfida per voi da l'ultima volta chì avemu scontru?|Cumu avete sperimentatu Diu à u travagliu in a vostra vita ultimamente?|Cumu avete pussutu cura di i vostri amichi o vicini ultimamente ?|Cumu hè andatu cù a vostra applicazione da l'ultima volta chì avemu scontru?|Circà|Leghjite u passaghju à voce alta.|Fate chì una persona ripiglia u passaghju in e so parolle cù l'aiutu di u gruppu.|Ci era qualcosa mancatu o aghjuntu ?|Chì ti distingue in stu passaghju?|Chì vi dice stu passaghju di Ghjesù, Diu, persone è voi ?|Cumu hè questu passaghju in relazione cù u titulu di sta discussione?|Aspettà ansiosamente|Sì stu passaghju hè da Diu, chì differenza faria in a vostra vita?|Cumu applicà stu passaghju sta settimana?|Cù quale sparterete stu passaghju ? Chì parte di questu puderia parlà cun elli?|soldi|Paragunà|Cunciliazione|Relazioni|Ghjudiziu|u pirdunu|Nemichi|Cunflittu|I poveri|Cosa hè impurtante?|abbastanza bè?|Self|Investisce cun prudenza|Parole parlate|Grazia|Cuntrolla|Stressed?|Acceptazione|A parolla libera?|Sapienza|Rispondimi ?|E di a fede ?|Perchè sò quì ?|Chì dice stu passaghju di soldi?|Chì dice stu passaghju di paragunà ?|Chì dice stu passaghju nantu à a riconciliazione?|Chì dice stu passaghju nantu à e relazioni?|Chì dice stu passaghju nantu à u ghjudiziu ?|Chì dice stu passaghju di u pirdunu?|Chì dice stu passaghju nantu à a relazione cù i nemici?|Chì dice stu passaghju nantu à u cunflittu?|Chì dice stu passaghju nantu à a relazione cù i poveri ?|Chì dice stu passaghju di ciò chì hè impurtante?|Chì dice stu passaghju di abbastanza bè?|Chì dice stu passaghju di sè stessu?|Chì dice stu passaghju nantu à l'investimentu sàviu?|Chì dice stu passaghju nantu à e parolle parlate?|Chì dice stu passaghju di ringraziu?|Chì dice stu passaghju nantu à u cuntrollu?|Chì dice stu passaghju di u stress?|Chì dice stu passaghju di l'accettazione?|Chì dice stu passaghju nantu à a libertà di parlà ?|Chì dice stu passaghju nantu à a saviezza?|Chì dice stu passaghju di risponde à Diu?|Chì dice stu passaghju di a fede?|Chì dice stu passaghju perchè sò quì?|Leghjite più|(passa un terzu di u vostru tempu nantu à sta sezione)|Scrivite e vostre note per Look Back quì|Scrivite e vostre note per Look Up quì|Scrivite e vostre note per Look Forward quì
Croatian|hrv00|hr|Pogledaj nazad|Na čemu ste zahvalni i što vam je predstavljalo izazov od našeg posljednjeg susreta?|Kako ste doživjeli Boga na djelu u vašem životu u posljednje vrijeme?|Kako ste se u posljednje vrijeme mogli brinuti za svoje prijatelje ili susjede?|Kako ste prošli s prijavom od našeg posljednjeg susreta?|Pogled gore|Pročitajte odlomak naglas.|Neka jedna osoba prepriča odlomak svojim riječima uz pomoć grupe.|Je li nešto propušteno ili dodano?|Što vam se ističe u ovom odlomku?|Što vam ovaj odlomak govori o Isusu, Bogu, ljudima i vama?|Kako je ovaj odlomak povezan s naslovom ove rasprave?|Gledaj naprijed|Ako je ovaj odlomak od Boga, kakvu bi razliku napravio u vašem životu?|Kako ćete primijeniti ovaj odlomak ovaj tjedan?|S kim ćeš podijeliti ovaj odlomak? Koji dio toga bi im mogao govoriti?|Novac|Uspoređujući|Pomirenje|Odnosi|Presuda|Opraštanje|Neprijatelji|Sukob|Siromasi|Što je važno?|dovoljno dobro?|sebe|Ulaganje mudro|Izgovorene riječi|zahvalnost|Kontrolirati|Pod stresom?|prihvaćanje|Sloboda govora?|Mudrost|odgovoriti?|Što je s vjerom?|Zašto sam ovdje?|Što ovaj odlomak govori o novcu?|Što ovaj odlomak govori o usporedbi?|Što ovaj odlomak govori o pomirenju?|Što ovaj odlomak govori o odnosima?|Što ovaj odlomak govori o sudu?|Što ovaj odlomak govori o opraštanju?|Što ovaj odlomak govori o odnosu prema neprijateljima?|Što ovaj odlomak govori o sukobu?|Što ovaj odlomak govori o odnosu prema siromašnima?|Što ovaj odlomak govori o tome što je važno?|Što ovaj odlomak govori o dovoljno dobro?|Što ovaj odlomak govori o sebi?|Što ovaj odlomak govori o mudrom ulaganju?|Što ovaj odlomak govori o izgovorenim riječima?|Što ovaj odlomak govori o zahvalnosti?|Što ovaj odlomak govori o kontroli?|Što ovaj odlomak govori o stresu?|Što ovaj odlomak govori o prihvaćanju?|Što ovaj odlomak govori o slobodi govora?|Što ovaj odlomak govori o mudrosti?|Što ovaj odlomak govori o odgovaranju Bogu?|Što ovaj odlomak govori o vjeri?|Što ovaj odlomak govori o tome zašto sam ovdje?|Pročitaj više|(provedite trećinu svog vremena na ovaj odjeljak)|Ovdje zapišite svoje bilješke za Look Back|Ovdje zapišite svoje bilješke za Look Up|Ovdje zapišite svoje bilješke za Look Forward
Czech|czc00|cs|Podívejte se zpět|Za co jsi vděčný a co bylo pro tebe náročné od chvíle, kdy jsme se naposledy potkali?|Jak jsi v poslední době prožíval Boha při práci ve svém životě?|Jak ses v poslední době dokázal postarat o své přátele nebo sousedy?|Jak jste postupovali se svou žádostí od našeho posledního setkání?|Vyhledat|Přečtěte si pasáž nahlas.|Požádejte jednoho člověka, aby pasáž převyprávěl vlastními slovy s pomocí skupiny.|Chybělo nebo přidalo se něco?|Co pro vás v této pasáži vyniká?|Co vám tato pasáž říká o Ježíši, Bohu, lidech a vás?|Jak tato pasáž souvisí s názvem této diskuse?|Těšte se dopředu|Pokud je tato pasáž od Boha, jaký by to znamenalo rozdíl ve vašem životě?|Jak hodláte tuto pasáž tento týden aplikovat?|S kým budete tuto pasáž sdílet? Jaká část toho k nim může mluvit?|Peníze|Porovnávání|Smíření|Vztahy|Rozsudek|Odpuštění|Nepřátelé|Konflikt|Chudí|co je důležité?|dost dobrý?|Já|Investujte moudře|Mluvená slova|Vděčnost|Řízení|ve stresu?|Přijetí|Svoboda slova?|Moudrost|Reagovat?|A co víra?|proč jsem tady?|Co tato pasáž říká o penězích?|Co tato pasáž říká o srovnání?|Co tato pasáž říká o smíření?|Co tato pasáž říká o vztazích?|Co tato pasáž říká o soudu?|Co tato pasáž říká o odpuštění?|Co tato pasáž říká o vztahu k nepřátelům?|Co tato pasáž říká o konfliktu?|Co tato pasáž říká o vztahu k chudým?|Co tato pasáž říká o tom, co je důležité?|Co tato pasáž říká o dost dobrém?|Co tato pasáž říká o sobě?|Co tato pasáž říká o rozumném investování?|Co tato pasáž říká o mluvených slovech?|Co tato pasáž říká o vděčnosti?|Co tato pasáž říká o ovládání?|Co tato pasáž říká o stresu?|Co tato pasáž říká o přijetí?|Co tato pasáž říká o svobodě slova?|Co tato pasáž říká o moudrosti?|Co tato pasáž říká o odpovědi Bohu?|Co tato pasáž říká o víře?|Co tato pasáž říká o tom, proč jsem tady?|Přečtěte si více|(v této sekci věnujte jednu třetinu svého času)|Sem napište své poznámky k Look Back|Sem napište své poznámky pro Look Up|Zde pište své poznámky pro Těšit se
Danish|Dan99|da|Se tilbage|Hvad er du taknemmelig for, og hvad har været udfordrende for dig, siden vi sidst mødtes?|Hvordan har du oplevet Gud på arbejde i dit liv på det seneste?|Hvordan har du været i stand til at passe dine venner eller naboer på det seneste?|Hvordan gik det med din ansøgning fra sidste gang, vi mødtes?|Kig op|Læs passagen højt.|Lad én person genfortælle stykket med deres egne ord med hjælp fra gruppen.|Er der savnet eller tilføjet noget?|Hvad skiller sig ud for dig i denne passage?|Hvad fortæller denne passage dig om Jesus, Gud, mennesker og dig?|Hvordan hænger denne passage sammen med titlen på denne diskussion?|Se fremad|Hvis denne passage er fra Gud, hvilken forskel ville det så gøre i dit liv?|Hvordan vil du anvende denne passage i denne uge?|Hvem vil du dele denne passage med? Hvilken del af det kan tale til dem?|Penge|Sammenligner|Forsoning|Relationer|Dom|Tilgivelse|Fjender|Konflikt|De fattige|Hvad er vigtigt?|Godt nok?|Selv|Invester klogt|Talte ord|Taknemmelighed|Kontrollere|Stresset?|Accept|Ytringsfrihed?|Visdom|Svare?|Hvad med troen?|Hvorfor er jeg her?|Hvad siger denne passage om penge?|Hvad siger denne passage om sammenligning?|Hvad siger denne passage om forsoning?|Hvad siger denne passage om forhold?|Hvad siger denne passage om dom?|Hvad siger denne passage om tilgivelse?|Hvad siger denne passage om forholdet til fjender?|Hvad siger denne passage om konflikt?|Hvad siger denne passage om forholdet til de fattige?|Hvad siger denne passage om, hvad der er vigtigt?|Hvad siger denne passage om godt nok?|Hvad siger denne passage om dig selv?|Hvad siger denne passage om at investere klogt?|Hvad siger denne passage om talte ord?|Hvad siger denne passage om taknemmelighed?|Hvad siger denne passage om kontrol?|Hvad siger denne passage om stress?|Hvad siger denne passage om accept?|Hvad siger denne passage om ytringsfrihed?|Hvad siger denne passage om visdom?|Hvad siger denne passage om at reagere på Gud?|Hvad siger denne passage om tro?|Hvad siger denne passage om, hvorfor jeg er her?|Læs mere|(brug en tredjedel af din tid på dette afsnit)|Skriv dine noter til Look Back her|Skriv dine noter til Look Up her|Skriv dine noter til Se frem her
Dhivehi||dv|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dogri||doi|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dutch|Dut99|nl|Kijk terug|Waar ben je dankbaar voor en wat was een uitdaging voor je sinds we elkaar voor het laatst ontmoetten?|Hoe heb jij de laatste tijd God aan het werk in jouw leven ervaren?|Hoe heeft u de laatste tijd voor uw vrienden of buren kunnen zorgen?|Hoe ging het met je sollicitatie sinds de laatste keer dat we elkaar ontmoetten?|Kijk omhoog|Lees de passage hardop.|Laat één persoon de passage in zijn eigen woorden navertellen, met hulp van de groep.|Is er iets gemist of toegevoegd?|Wat valt jou op in deze passage?|Wat vertelt deze passage jou over Jezus, God, mensen en jou?|Hoe verhoudt deze passage zich tot de titel van deze discussie?|Kijk vooruit|Als deze passage van God komt, welk verschil zou het dan maken in jouw leven?|Hoe ga jij deze passage deze week toepassen?|Met wie ga jij deze passage delen? Welk deel ervan zou hen kunnen aanspreken?|Geld|Vergelijken|Verzoening|Relaties|Oordeel|Vergiffenis|Vijanden|Conflict|De armen|Wat is belangrijk?|Goed genoeg?|Zelf|Verstandig investeren|Gesproken woorden|Dankbaarheid|Controle|Gestrest?|Aanvaarding|Vrije meningsuiting?|Wijsheid|Antwoorden?|Hoe zit het met het geloof?|Waarom ben ik hier?|Wat zegt deze passage over geld?|Wat zegt deze passage over vergelijken?|Wat zegt deze passage over verzoening?|Wat zegt deze passage over relaties?|Wat zegt deze passage over oordeel?|Wat zegt deze passage over vergeving?|Wat zegt deze passage over het omgaan met vijanden?|Wat zegt deze passage over conflicten?|Wat zegt deze passage over de omgang met de armen?|Wat zegt deze passage over wat belangrijk is?|Wat zegt deze passage over goed genoeg?|Wat zegt deze passage over jezelf?|Wat zegt deze passage over verstandig beleggen?|Wat zegt dit gedeelte over gesproken woorden?|Wat zegt dit gedeelte over dankbaarheid?|Wat zegt deze passage over controle?|Wat zegt deze passage over stress?|Wat zegt deze passage over acceptatie?|Wat zegt deze passage over de vrijheid van meningsuiting?|Wat zegt dit gedeelte over wijsheid?|Wat zegt deze passage over het reageren op God?|Wat zegt dit gedeelte over geloof?|Wat zegt deze passage over waarom ik hier ben?|Lees meer|(Besteed een derde van uw tijd aan dit gedeelte)|Schrijf hier uw aantekeningen voor Terugkijken|Schrijf hier uw aantekeningen voor Look Up|Schrijf hier uw aantekeningen voor Look Forward
Esperanto|epo19|eo|Rigardu Malantaŭen|Pro kio vi dankas kaj kio defiis por vi ekde kiam ni laste renkontis?|Kiel vi spertis Dion laborantan en via vivo lastatempe?|Kiel vi povis zorgi pri viaj amikoj aŭ najbaroj lastatempe?|Kiel vi iris kun via kandidatiĝo de la lasta fojo, kiam ni renkontis?|Rigardu Supren|Legu la fragmenton laŭte.|Havu unu personon rerakonti la pasaĵon per siaj propraj vortoj kun helpo de la grupo.|Ĉu estis io mankita aŭ aldonita?|Kio elstaras por vi en ĉi tiu paŝo?|Kion ĉi tiu pasaĵo diras al vi pri Jesuo, Dio, homoj kaj vi?|Kiel ĉi tiu trairejo rilatas al la titolo por ĉi tiu diskuto?|Rigardu Antaŭen|Se ĉi tiu trairejo estas de Dio, kian diferencon ĝi farus en via vivo?|Kiel vi aplikos ĉi tiun trairejon ĉi-semajne?|Kun kiu vi dividos ĉi tiun trairejon? Kiu parto de ĝi povus paroli al ili?|Mono|Komparante|Repaciĝo|Rilatoj|Juĝo|Pardono|Malamikoj|Konflikto|La malriĉuloj|Kio estas grava?|Sufiĉe bona?|Mem|Investante saĝe|Parotaj vortoj|Dankemo|Kontrolo|Stresita?|Akcepto|Libera parolado?|Saĝo|Respondi?|Kio pri fido?|Kial mi estas ĉi tie?|Kion diras ĉi tiu paŝo pri mono?|Kion diras ĉi tiu paŝo pri komparo?|Kion diras ĉi tiu paŝo pri repaciĝo?|Kion diras ĉi tiu paŝo pri rilatoj?|Kion diras ĉi tiu trairejo pri juĝo?|Kion diras ĉi tiu paŝo pri pardono?|Kion diras ĉi tiu trairejo pri rilatado al malamikoj?|Kion diras ĉi tiu paŝo pri konflikto?|Kion diras ĉi tiu trairejo pri rilatado al malriĉuloj?|Kion diras ĉi tiu paŝo pri tio, kio estas grava?|Kion diras ĉi tiu paŝo pri sufiĉe bona?|Kion diras ĉi tiu paŝo pri memo?|Kion diras ĉi tiu paŝo pri investado saĝe?|Kion diras ĉi tiu paŝo pri parolataj vortoj?|Kion diras ĉi tiu paŝo pri dankemo?|Kion diras ĉi tiu paŝo pri kontrolo?|Kion diras ĉi tiu paŝo pri streso?|Kion diras ĉi tiu paŝo pri akcepto?|Kion diras ĉi tiu pasaĵo pri libera parolado?|Kion diras ĉi tiu trairejo pri saĝo?|Kion diras ĉi tiu paŝo pri respondado al Dio?|Kion diras ĉi tiu trairejo pri fido?|Kion diras ĉi tiu trairejo pri kial mi estas ĉi tie?|Legu pli|(pasu trionon de via tempo en ĉi tiu sekcio)|Skribu viajn notojn por Rerigardu ĉi tie|Skribu viajn notojn por Look Up ĉi tie|Skribu viajn notojn por Atendu Antaŭen ĉi tie
Estonian|est00|et|Vaata tagasi|Mille eest olete tänulik ja mis on teile pärast viimast kohtumist väljakutseid valmistanud?|Kuidas olete viimasel ajal kogenud Jumalat oma elus?|Kuidas olete viimasel ajal suutnud oma sõprade või naabrite eest hoolitseda?|Kuidas teil eelmisel kohtumisel avalduse esitamisega läks?|Vaata üles|Lugege lõik ette.|Laske ühel inimesel rühma abiga lõik oma sõnadega ümber jutustada.|Kas midagi jäi vahele või lisandus?|Mis teie jaoks selles lõigus silma paistab?|Mida räägib see lõik sulle Jeesusest, Jumalast, inimestest ja sinust?|Kuidas on see lõik seotud selle arutelu pealkirjaga?|Vaata edasi|Kui see lõik on Jumalalt, siis mis vahet see teie elus muudaks?|Kuidas kavatsete seda lõiku sel nädalal rakendada?|Kellega sa seda lõiku jagad? Milline osa sellest võiks neid kõnetada?|Raha|Võrreldes|Leppimine|Suhted|Kohtuotsus|Andestus|Vaenlased|Konflikt|Vaesed|Mis on oluline?|Piisavalt hea?|Ise|Investeerimine targalt|Öeldud sõnad|Tänulikkus|Kontrolli|Stressis?|Vastuvõtmine|Sõnavabadus?|Tarkus|Kas vastata?|Aga usk?|Miks ma siin olen?|Mida see lõik raha kohta ütleb?|Mida see lõik ütleb võrdlemise kohta?|Mida see lõik ütleb leppimise kohta?|Mida see lõik ütleb suhete kohta?|Mida see lõik ütleb kohtu kohta?|Mida see lõik ütleb andestuse kohta?|Mida ütleb see lõik vaenlastega suhtlemise kohta?|Mida see lõik konflikti kohta ütleb?|Mida see lõik ütleb vaestega suhtlemise kohta?|Mida ütleb see lõik selle kohta, mis on oluline?|Mida see lõik ütleb piisavalt hea kohta?|Mida see lõik ütleb iseenda kohta?|Mida see lõik ütleb targa investeerimise kohta?|Mida see lõik kõnelevate sõnade kohta ütleb?|Mida ütleb see lõik tänulikkuse kohta?|Mida see lõik ütleb kontrolli kohta?|Mida see lõik stressi kohta ütleb?|Mida see lõik ütleb aktsepteerimise kohta?|Mida see lõik sõnavabaduse kohta ütleb?|Mida see lõik ütleb tarkuse kohta?|Mida see lõik ütleb Jumalale vastamise kohta?|Mida see lõik usu kohta ütleb?|Mida see lõik ütleb selle kohta, miks ma siin olen?|Loe edasi|(kulutage sellele jaotisele kolmandik oma ajast)|Kirjutage oma märkmed tagasivaatamiseks siia|Kirjutage oma märkmed otsingu jaoks siia|Kirjutage siia oma märkmed Look Forward jaoks
Ewe||ee|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Filipino (Tagalog)|tagl00|fil|Tumingin Sa likod|Ano ang ipinagpapasalamat mo at ano ang naging hamon sa iyo mula noong huli tayong magkita?|Paano mo naranasan ang Diyos sa iyong buhay kamakailan?|Paano mo nagawang pangalagaan ang iyong mga kaibigan o kapitbahay kamakailan?|Paano mo napunta sa iyong aplikasyon mula sa huling pagkikita natin?|Tumingin sa Itaas|Basahin nang malakas ang talata.|Ipasalaysay muli sa isang tao ang talata sa sarili nilang mga salita sa tulong ng grupo.|May nakaligtaan ba o nadagdag?|Ano ang namumukod-tangi para sa iyo sa talatang ito?|Ano ang sinasabi sa iyo ng talatang ito tungkol kay Jesus, sa Diyos, sa mga tao at sa iyo?|Paano nauugnay ang talatang ito sa pamagat para sa talakayang ito?|Hanapin ang Pasulong|Kung ang talatang ito ay mula sa Diyos, anong pagkakaiba ang maidudulot nito sa iyong buhay?|Paano mo ilalapat ang talatang ito sa linggong ito?|Kanino mo ibabahagi ang talatang ito? Anong bahagi nito ang maaaring magsalita sa kanila?|Pera|Paghahambing|Pagkakasundo|Mga relasyon|Paghuhukom|Pagpapatawad|Mga kalaban|Salungatan|Ang mahihirap|Ano ang mahalaga?|Sapat na?|Sarili|Marunong mag-invest|Binibigkas na mga salita|Pagpapasalamat|Kontrolin|Stressed?|Pagtanggap|Malayang pananalita?|Karunungan|Sumagot?|Paano naman ang pananampalataya?|Bakit ako nandito?|Ano ang sinasabi ng talatang ito tungkol sa pera?|Ano ang sinasabi ng talatang ito tungkol sa paghahambing?|Ano ang sinasabi ng talatang ito tungkol sa pagkakasundo?|Ano ang sinasabi ng talatang ito tungkol sa mga relasyon?|Ano ang sinasabi ng talatang ito tungkol sa paghatol?|Ano ang sinasabi ng talatang ito tungkol sa pagpapatawad?|Ano ang sinasabi ng talatang ito tungkol sa kaugnayan sa mga kaaway?|Ano ang sinasabi ng talatang ito tungkol sa tunggalian?|Ano ang sinasabi ng talatang ito tungkol sa kaugnayan sa mahihirap?|Ano ang sinasabi ng talatang ito tungkol sa kung ano ang mahalaga?|Ano ang sinasabi ng talatang ito tungkol sa sapat na mabuti?|Ano ang sinasabi ng talatang ito tungkol sa sarili?|Ano ang sinasabi ng talatang ito tungkol sa matalinong pamumuhunan?|Ano ang sinasabi ng talatang ito tungkol sa mga binigkas na salita?|Ano ang sinasabi ng talatang ito tungkol sa pasasalamat?|Ano ang sinasabi ng talatang ito tungkol sa kontrol?|Ano ang sinasabi ng talatang ito tungkol sa stress?|Ano ang sinasabi ng talatang ito tungkol sa pagtanggap?|Ano ang sinasabi ng talatang ito tungkol sa malayang pananalita?|Ano ang sinasabi ng talatang ito tungkol sa karunungan?|Ano ang sinasabi ng talatang ito tungkol sa pagtugon sa Diyos?|Ano ang sinasabi ng talatang ito tungkol sa pananampalataya?|Ano ang sinasabi ng talatang ito tungkol sa kung bakit ako naririto?|Magbasa pa|(Gumugol ng isang-katlo ng iyong oras sa seksyong ito)|Isulat ang iyong mga tala para sa Look Back dito|Isulat ang iyong mga tala para sa Look Up dito|Isulat ang iyong mga tala para sa Look Forward dito
Finnish|fin00|fi|Katso taaksepäin|Mistä olet kiitollinen ja mikä on ollut sinulle haastavaa viime tapaamisemme jälkeen?|Miten olet viime aikoina kokenut Jumalan työssä elämässäsi?|Kuinka olet viime aikoina pystynyt huolehtimaan ystävistäsi tai naapureistasi?|Miten hakemuksesi meni edellisestä tapaamisestamme?|Katso ylös|Lue kohta ääneen.|Pyydä yhtä henkilöä kertomaan kohta uudelleen omin sanoin ryhmän avulla.|Jäikö jotain puuttumaan tai lisätty?|Mikä erottuu sinusta tässä jaksossa?|Mitä tämä kohta kertoo sinulle Jeesuksesta, Jumalasta, ihmisistä ja sinusta?|Miten tämä kohta liittyy tämän keskustelun otsikkoon?|Katso eteenpäin|Jos tämä kohta on Jumalalta, mitä merkitystä sillä olisi elämääsi?|Miten aiot soveltaa tätä kohtaa tällä viikolla?|Kenen kanssa jaat tämän kohdan? Mikä osa siitä voisi puhua heille?|Rahaa|Vertaamalla|Sovittelu|Suhteet|Tuomio|Anteeksianto|Vihollisia|Konflikti|Köyhät|Mikä on tärkeää?|tarpeeksi hyvä?|Itse|Sijoittaa viisaasti|Puhutut sanat|Kiitollisuus|Ohjaus|Stressaantunut?|Hyväksyminen|sananvapaus?|Viisaus|Vastata?|Entä usko?|Miksi olen täällä?|Mitä tämä kohta kertoo rahasta?|Mitä tämä kohta kertoo vertaamisesta?|Mitä tämä kohta kertoo sovinnosta?|Mitä tämä kohta kertoo ihmissuhteista?|Mitä tämä kohta sanoo tuomiosta?|Mitä tämä kohta kertoo anteeksiantamisesta?|Mitä tämä kohta kertoo suhteesta vihollisiin?|Mitä tämä kohta kertoo konfliktista?|Mitä tämä kohta kertoo suhteesta köyhiin?|Mitä tämä kohta kertoo siitä, mikä on tärkeää?|Mitä tämä kohta kertoo riittävän hyvästä?|Mitä tämä kohta kertoo itsestään?|Mitä tämä kohta kertoo viisaasta sijoittamisesta?|Mitä tämä kohta kertoo puhutuista sanoista?|Mitä tämä kohta kertoo kiitollisuudesta?|Mitä tämä kohta kertoo hallinnasta?|Mitä tämä kohta kertoo stressistä?|Mitä tämä kohta sanoo hyväksymisestä?|Mitä tämä kohta kertoo sananvapaudesta?|Mitä tämä kohta kertoo viisaudesta?|Mitä tämä kohta kertoo Jumalalle vastaamisesta?|Mitä tämä kohta kertoo uskosta?|Mitä tämä kohta kertoo siitä, miksi olen täällä?|Lue lisää|(viettää kolmasosa ajasta tähän osioon)|Kirjoita muistiinpanosi Katso takaisin tänne|Kirjoita muistiinpanosi Look Up -ohjelmaa varten tähän|Kirjoita tähän muistiinpanosi Look Forwardia varten
French|frn00|fr|Regarder en arrière|De quoi êtes-vous reconnaissant et qu’est-ce qui a été un défi pour vous depuis notre dernière rencontre ?|Comment avez-vous récemment fait l’expérience de Dieu à l’œuvre dans votre vie ?|Comment avez-vous pu prendre soin de vos amis ou de vos voisins ces derniers temps ?|Comment s’est passée votre candidature depuis la dernière fois que nous nous sommes rencontrés ?|Chercher|Lisez le passage à haute voix.|Demandez à une personne de raconter le passage dans ses propres mots avec l’aide du groupe.|Y a-t-il quelque chose qui a été oublié ou ajouté ?|Qu’est-ce qui vous ressort dans ce passage ?|Que vous dit ce passage sur Jésus, Dieu, les gens et vous ?|Quel est le rapport entre ce passage et le titre de cette discussion ?|Avoir hâte|Si ce passage vient de Dieu, quelle différence cela ferait-il dans votre vie ?|Comment allez-vous appliquer ce passage cette semaine ?|Avec qui partagerez-vous ce passage ? Quelle partie pourrait leur parler ?|Argent|Comparaison|Réconciliation|Relations|Jugement|Pardon|Ennemis|Conflit|Les pauvres|Qu'est-ce qui est important ?|Suffisant?|Soi|Investir judicieusement|Mots parlés|Reconnaissance|Contrôle|Stressé ?|Acceptation|La liberté d'expression ?|Sagesse|Répondre?|Et la foi ?|Pourquoi suis-je ici ?|Que dit ce passage à propos de l’argent ?|Que dit ce passage sur la comparaison ?|Que dit ce passage à propos de la réconciliation ?|Que dit ce passage sur les relations ?|Que dit ce passage à propos du jugement ?|Que dit ce passage sur le pardon ?|Que dit ce passage sur les relations avec les ennemis ?|Que dit ce passage sur le conflit ?|Que dit ce passage sur les relations avec les pauvres ?|Que dit ce passage sur ce qui est important ?|Que dit ce passage à propos de l’assez bien ?|Que dit ce passage sur soi ?|Que dit ce passage sur l’investissement judicieux ?|Que dit ce passage à propos des paroles prononcées ?|Que dit ce passage sur la gratitude ?|Que dit ce passage sur le contrôle ?|Que dit ce passage sur le stress ?|Que dit ce passage sur l’acceptation ?|Que dit ce passage sur la liberté d’expression ?|Que dit ce passage sur la sagesse ?|Que dit ce passage sur la réponse à Dieu ?|Que dit ce passage sur la foi ?|Que dit ce passage sur la raison pour laquelle je suis ici ?|En savoir plus|(passez un tiers de votre temps sur cette section)|Écrivez vos notes pour Look Back ici|Écrivez vos notes pour Rechercher ici|Écrivez vos notes pour Look Forward ici
Frisian|Fri29|fy|Sjoch werom|Wêr bisto tankber foar en wat is útdaagjend foar jo sûnt wy foar it lêst moete?|Hoe hawwe jo de lêste tiid God oan it wurk yn jo libben ûnderfûn?|Hoe hawwe jo de lêste tiid foar jo freonen of buorlju soargje kinnen?|Hoe binne jo gien mei jo oanfraach fan 'e lêste kear dat wy moete?|Sjoch Up|Lês de passaazje lûdop.|Lit ien persoan de passaazje yn har eigen wurden opnij fertelle mei help fan 'e groep.|Wie der wat mist of tafoege?|Wat stiet foar jo op yn dizze passaazje?|Wat fertelt dizze passaazje jo oer Jezus, God, minsken en jo?|Hoe ferhâldt dizze passaazje mei de titel fan dizze diskusje?|Sjoch foarút|As dizze passaazje fan God is, hokker ferskil soe it dan meitsje yn jo libben?|Hoe sille jo dizze passaazje dizze wike tapasse?|Mei wa sille jo dizze passaazje diele? Hokker diel dêrfan kin har prate?|Jild|Fergelykjen|Fersoening|Relaasjes|Oardiel|Ferjouwing|Fijannen|Konflikt|De earmen|Wat is wichtich?|Goed genôch?|Sels|Ynvestearje ferstannich|Spoken wurden|Tankberens|Kontrôle|Stressed?|Akseptaasje|Frije spraak?|Wysheid|Reagearje?|Hoe sit it mei it leauwe?|Wêrom bin ik hjir?|Wat seit dizze passaazje oer jild?|Wat seit dizze passaazje oer fergelykjen?|Wat seit dizze passaazje oer fersoening?|Wat seit dizze passaazje oer relaasjes?|Wat seit dizze passaazje oer oardiel?|Wat seit dizze passaazje oer ferjouwing?|Wat seit dizze passaazje oer relaasje mei fijannen?|Wat seit dizze passaazje oer konflikt?|Wat seit dizze passaazje oer relaasje mei de earmen?|Wat seit dizze passaazje oer wat wichtich is?|Wat seit dizze passaazje oer goed genôch?|Wat seit dizze passaazje oer sels?|Wat seit dizze passaazje oer ferstannich ynvestearjen?|Wat seit dizze passaazje oer sprutsen wurden?|Wat seit dizze passaazje oer tankberens?|Wat seit dizze passaazje oer kontrôle?|Wat seit dizze passaazje oer stress?|Wat seit dizze passaazje oer akseptaasje?|Wat seit dizze passaazje oer frijheid fan mieningsutering?|Wat seit dizze passaazje oer wiisheid?|Wat seit dizze passaazje oer it reagearjen op God?|Wat seit dizze passaazje oer leauwen?|Wat seit dizze passaazje oer wêrom bin ik hjir?|Lês mear|(besteegje ien tredde fan jo tiid oan dizze seksje)|Skriuw jo notysjes foar Look Back hjir|Skriuw jo notysjes foar Look Up hjir|Skriuw jo notysjes foar Look Forward hjir
