language.title|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|topic.24|topic.25|look_back.question.1|look_back.question.2|look_back.question.4|look_back.question.5|look_back.question.6|look_up.instruction.1|look_up.instruction.2|look_up.instruction.3|look_up.instruction.4|look_up.instruction.5|look_up.question.1|look_up.question.2|look_up.question.3|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|look_forward.question.5|promo.title|promo.text.1|promo.text.2|promo.text.3|promo.text.4|create_outline|download_outline|read_more|timing|notes.lookback|notes.lookup|notes.lookforward
Latvian|lat00|lv|Paskaties atpakaļ|Paskaties uz augšu|Skaties uz priekšu|Vadītāji aicina citus sekot Kristum|Līderi māca attieksmi, ko Dievs svētī|Līderi māca attieksmi, ko Dievs svētī|Līderi cenšas iepriecināt Dievu|Līderi kalpo Dievam|Vadītāji spriež taisnīgi|Vadītāji spriež taisnīgi|Līderi meklē Dievu|Vadītāji paklausa Dievam|Līderi rūpējas par atstumtajiem un grēciniekiem|Līderi māca, sludina un dziedina|Līderi izsūta cilvēkus|Līderi gatavojas vajāšanai|Līderi piedāvā atpūtu nogurušajiem|Līderi māca par valstību|Līderi pieņem izmaksas|Vadītāji klausās Jēzu|Līderi māca par ticību|Vadītāji tiek galā ar grēku|Līderi Goda laulību|Vadītāji ir kalpi|Līderi apmierina vajadzības savas līdzjūtības dēļ|Līderi iegulda uzticīgi|Līderi apkalpo tos, kam tas nepieciešams|Līderi māca citus paklausīt|Par ko tu esi pateicīgs šonedēļ?|Ar ko jūs cīnāties un kā mēs varam palīdzēt?|Veltiet laiku, lai slavētu Dievu un lūgtu par savām vajadzībām.|Kā jūs pielietojāt praksē to, ko pētījām, kad pēdējo reizi tikāmies?|Pastāstiet par sarunām, kuras bijāt pēdējā ēdienreizē ciematā. Vai ir kādi cilvēki, kas izrādīja interesi uzzināt vairāk par Jēzu?|Izlasiet šīs diskusijas nosaukumu.|Palūdziet kādam izlasīt fragmentu pa vienai rindkopai.|Palūdziet kādam grupas dalībniekam to pastāstīt saviem vārdiem.|Pajautājiet grupai, vai viņi ir kaut ko pievienojuši vai kaut ko atstājuši.|Kad esat pabeidzis VISAS rindkopas, palūdziet kādam no grupas izstāstīt VISU stāstu pēc atmiņas. Lūdziet grupai izlabot visas kļūdas.|Ko šī rakstvieta mums stāsta par Dievu?|Ko šis fragments stāsta par cilvēkiem?|Kā šis fragments ir saistīts ar šīs diskusijas nosaukumu?|Kā mēs varētu piemērot šo Rakstu vietu: vai ir grēks, no kura izvairīties, solījums apgalvot, piemērs, kam sekot, bauslis paklausīt?|Kā šī rakstvieta var palīdzēt jums sazināties ar cilvēkiem ciematā?|Kam tu pastāstīsi, ko šodien iemācījies? Ko tu viņiem teiksi?|Kādas vajadzības esat ievērojis pēdējā laikā? Vai mēs varam satikt kādu no viņiem?|Kad vēlies atkal satikties?|Atklājiet garīgo vadību|Līderiem jāturpina augt raksturā un prasmēs|Kā jūs palīdzat saviem vadītājiem attīstīt raksturu un prasmes, kas viņiem nepieciešamas, lai vadītu daudzveidīgo Bībeles studiju tīklu?|Jautājumus, ko viņi uzdod Svētajiem Rakstiem, ietekmē viņu vadīto grupu vajadzības.|Mēs uzskatām, ka šīs tēmas, fragmenti un jautājumi ir efektīvi mūsu vadītāju apmācībā.|Izveidojiet kontūru tūlīt|Lejupielādēt Outline|Lasīt vairāk|(pavadiet trešdaļu sava laika šai sadaļai)|Uzrakstiet šeit savas piezīmes par atskatu|Uzrakstiet šeit savas piezīmes meklēšanai|Ierakstiet savas piezīmes, lai meklētu uz priekšu šeit
Lingala||ln||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lithuanian|lit00|lt|Guarda indietro|Cercare|Guarda avanti|I leader chiamano gli altri a seguire Cristo|I leader insegnano gli atteggiamenti che Dio benedice|I leader insegnano gli atteggiamenti che Dio benedice|I leader cercano di compiacere Dio|I leader servono Dio|I leader giudicano con rettitudine|I leader giudicano con rettitudine|I leader cercano Dio|I leader obbediscono a Dio|I leader si prendono cura degli emarginati e dei peccatori|I leader insegnano, predicano e guariscono|I leader mandano fuori le persone|I leader si preparano alla persecuzione|I leader offrono riposo agli stanchi|I leader insegnano riguardo al Regno|I leader accettano il costo|I leader ascoltano Gesù|I leader insegnano la fede|I leader affrontano il peccato|I leader onorano il matrimonio|I leader sono servitori|I leader soddisfano i bisogni grazie alla loro compassione|I leader investono fedelmente|I leader servono chi è nel bisogno|I leader insegnano agli altri a obbedire|Per cosa sei grato questa settimana?|Con cosa stai lottando e come possiamo aiutarti?|Prenditi del tempo per lodare Dio e pregare per i bisogni.|Come hai messo in pratica ciò che abbiamo studiato l'ultima volta che ci siamo incontrati?|Raccontaci le conversazioni che hai avuto durante l'ultimo pasto nel villaggio. Ci sono persone che hanno mostrato interesse a saperne di più su Gesù?|Leggi il titolo di questa discussione.|Chiedi a qualcuno di leggere il passaggio un paragrafo alla volta.|Chiedi a un membro del gruppo di raccontarlo con parole sue.|Chiedi al gruppo se hanno aggiunto o tralasciato qualcosa.|Quando finisci TUTTI i paragrafi, chiedi a qualcuno del gruppo di raccontare TUTTA la storia a memoria. Chiedi al gruppo di correggere eventuali errori.|Cosa ci dice questo passaggio su Dio?|Cosa ci dice questo passaggio sulle persone?|Come si collega questo passaggio al titolo di questa discussione?|Come potremmo applicare questa Scrittura: c'è un peccato da evitare, una promessa da rivendicare, un esempio da seguire, un comandamento a cui obbedire?|In che modo questo passaggio può aiutarti a interagire con le persone del villaggio?|A chi racconterai ciò che hai imparato oggi? Cosa dirai loro?|Quali bisogni hai osservato ultimamente? Possiamo incontrarne qualcuno?|Quando vuoi incontrarci di nuovo?|Alla scoperta della leadership spirituale|I leader devono continuare a crescere in carattere e abilità|Come puoi aiutare i tuoi leader a sviluppare il carattere e le competenze di cui hanno bisogno per guidare una rete sempre più ampia di Discovery Bible Studies?|Le domande che pongono alla Scrittura sono influenzate dai bisogni dei gruppi che guidano.|Stiamo trovando questi argomenti, passaggi e domande efficaci nella formazione dei nostri leader.|Crea una struttura adesso|Scarica Schema|Per saperne di più|(dedica un terzo del tuo tempo a questa sezione)|Scrivi qui i tuoi appunti per Guarda indietro|Scrivi qui i tuoi appunti per Cerca|Scrivi qui i tuoi appunti per Look Forward
Luganda|lap00|lg||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Luxembourgish|Lux777|lb|Kuckt zréck|Eropkucken|Sech op eppes freeën|Leadere ruffen Anerer fir Christus ze verfollegen|Leadere léieren Attituden Gott blesséiert|Leadere léieren Attituden Gott blesséiert|Leadere sichen Gott ze gefalen|Leadere Déngen Gott|Leadere Riichter Gerecht|Leadere Riichter Gerecht|Leadere sichen Gott|Leadere befollegen Gott|Leadere këmmere sech ëm Outcasts a Sënner|Leadere léieren, prechen, an heelen|Leadere schécken Leit eraus|Leadere preparéieren op Verfolgung|Leadere bidden Rescht un déi midd|Leadere léieren iwwer d'Kinnekräich|Leadere akzeptéieren d'Käschte|Leadere Lauschtert op de Jesus|Leadere léieren iwwer Glawen|Leader Deal mat Sënn|Leader Éieren Bestietnes|Leadere sinn Déngschtleeschtungen|Leadere treffen Bedierfnesser Wéinst hirem Matgefill|Leader investéieren trei|Leadere servéieren déi an Nout|Leadere léieren anerer ze befollegen|Fir wat sidd Dir dankbar fir dës Woch?|Mat wat kämpft Dir a wéi kënne mir hëllefen?|Huelt Zäit fir Gott ze luewen a biet fir d'Bedierfnesser.|Wéi hutt Dir an der Praxis ëmgesat wat mir studéiert hunn déi leschte Kéier wou mir eis getraff hunn?|Erzielt eis iwwert d'Gespréicher, déi Dir um leschten Iessen am Duerf hat. Ginn et Leit déi Interessi gewisen hunn méi iwwer de Jesus ze léieren?|Liest den Titel fir dës Diskussioun.|Frot een de Passage ee Paragraf gläichzäiteg ze liesen.|Loosst e Gruppemember et an hiren eegene Wierder soen.|Frot de Grupp ob se eppes derbäigesat hunn oder eppes ewechgelooss hunn.|Wann Dir mat ALL Abschnitter fäerdeg sidd, frot een an der Grupp fir d'VOLLE Geschicht duerch Erënnerung ze erzielen. Loosst de Grupp all Feeler korrigéieren.|Wat seet dëse Passage eis iwwer Gott?|Wat seet dëse Passage eis iwwer Leit?|Wéi ass dëse Passage mam Titel fir dës Diskussioun verbonnen?|Wéi kënne mir dës Schrëft applizéieren: Gëtt et eng Sënn fir ze vermeiden, Verspriechen ze behaapten, Beispill fir ze verfollegen, Gebot ze halen?|Wéi kann dëse Passage Iech hëllefen mat Leit am Duerf ze interagéieren?|Wien wäert Dir soen wat Dir haut geléiert hutt? Wat wäert Dir hinnen soen?|Wéi eng Bedierfnesser hutt Dir zënter kuerzem observéiert? Kënne mir ee vun hinnen treffen?|Wéini wëllt Dir erëm treffen?|Entdeckt spirituell Leadership|Leadere musse weider a Charakter a Fäegkeet wuessen|Wéi hëlleft Dir Är Leader de Charakter a Fäegkeeten z'entwéckelen déi se brauchen fir e multiplizéierend Netzwierk vun Discovery Bible Studies ze féieren?|D'Froen déi se an d'Schrëft bréngen sinn beaflosst vun de Bedierfnesser vun de Gruppen déi se féieren.|Mir fannen dës Themen, Passagen a Froen effektiv beim Training vun eise Leader.|Erstellt elo Outline|Download Outline|Liest méi|(verbréngt een Drëttel vun Ärer Zäit op dëser Sektioun)|Schreift Är Notizen fir Look Back hei|Schreift Är Notizen fir Look Up hei|Schreift Är Notizen fir Look Forward hei
Macedonian|mkj00|mk|Погледни назад|Погледни нагоре|Гледајте напред|Водачите ги повикуваат другите да го следат Христос|Лидерите учат ставови Бог ги благословува|Лидерите учат ставови Бог ги благословува|Лидерите бараат да му угодат на Бога|Водачите му служат на Бог|Лидерите судат праведно|Лидерите судат праведно|Лидерите го бараат Бога|Водачите му се покоруваат на Бога|Лидерите се грижат за отпадниците и грешниците|Водачите поучуваат, проповедаат и лекуваат|Лидерите испраќаат луѓе надвор|Лидерите се подготвуваат за прогон|Лидерите нудат одмор на уморните|Водачите поучуваат за Царството|Лидерите ја прифаќаат цената|Водачите го слушаат Исус|Лидерите учат за верата|Лидерите се справуваат со гревот|Лидерите го почитуваат бракот|Лидерите се слуги|Лидерите ги задоволуваат потребите поради нивното сочувство|Лидерите инвестираат верно|Лидерите им служат на оние кои имаат потреба|Лидерите ги учат другите да послушаат|За што сте благодарни оваа недела?|Со што се борите и како можеме да помогнеме?|Најдете време да го славите Бога и да се молите за потребите.|Како го применивте она што го проучувавме последниот пат кога се сретнавме?|Кажете ни за разговорите што сте ги имале на последниот оброк во селото. Дали има луѓе кои покажале интерес да дознаат повеќе за Исус?|Прочитајте го насловот за оваа дискусија.|Побарајте некој да го чита пасусот еден по пасус.|Еден член на групата нека го каже тоа со свои зборови.|Прашајте ја групата дали додале нешто или нешто изоставиле.|Кога ќе завршите со СИТЕ пасуси, замолете некој од групата да ја раскаже ЦЕЛАТА приказна по сеќавање. Групата нека ги исправи сите грешки.|Што ни кажува овој пасус за Бог?|Што ни кажува овој пасус за луѓето?|Како овој пасус се поврзува со насловот за оваа дискусија?|Како би можеле да го примениме ова Писмо: Дали има грев што треба да се избегнува, ветување да се тврди, пример што треба да се следи, заповед што треба да се почитува?|Како може овој пасус да ви помогне да комуницирате со луѓето во селото?|Кому ќе му кажеш што научи денес? Што ќе им кажеш?|Кои потреби ги забележавте во последно време? Можеме ли да запознаеме некој од нив?|Кога сакате повторно да се сретнете?|Откривање на духовното лидерство|Лидерите треба да продолжат да растат по карактер и вештини|Како им помагате на вашите водачи да ги развијат карактерот и вештините што им се потребни за да водат мултиплицирана мрежа на библиски студии на Дискавери?|Прашањата што тие ги носат во Светото писмо се под влијание на потребите на групите што ги водат.|Сметаме дека овие теми, пасуси и прашања се ефективни во обуката на нашите лидери.|Направете преглед сега|Преземи преглед|Прочитајте повеќе|(потрошете една третина од вашето време на овој дел)|Напишете ги вашите белешки за Look Back овде|Напишете ги вашите белешки за Look Up овде|Напишете ги вашите белешки за Look Forward овде
Maithili||mai||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Malagasy|plt00|mg|Miverena|Hitady|Manantena|Miantso ny hafa hanaraka an’i Kristy ny mpitarika|Ny mpitarika dia mampianatra toe-tsaina tahin'Andriamanitra|Ny mpitarika dia mampianatra toe-tsaina tahin'Andriamanitra|Mitady Hampifaly an’Andriamanitra ny Mpitarika|Manompo an’Andriamanitra ny Mpitarika|Mitsara marina ny Mpitarika|Mitsara marina ny Mpitarika|Mitady an’Andriamanitra ny mpitondra|Mankatò an’Andriamanitra ny Mpitarika|Mpitarika miahy ireo voaroaka sy mpanota|Mampianatra sy mitory ary manasitrana ny mpitarika|Mandefa olona ny mpitondra|Miomana ho amin’ny fanenjehana ireo mpitarika|Ny Mpitarika dia manolotra fitsaharana ho an'ny reraka|Mampianatra Momba Ilay Fanjakana ny Mpitarika|Manaiky ny sarany ny mpitarika|Mihaino an’i Jesosy ny Mpitarika|Mampianatra Momba ny Finoana ny Mpitarika|Miady amin'ny Ota ny Mpitarika|Manaja ny fanambadiana ny Mpitarika|Mpanompo ny mpitondra|Ny Mpitarika dia mamaly ny filana noho ny fangorahany|Mampiasa vola amim-pahatokiana ny mpitarika|Manompo ireo sahirana ny Mpitarika|Mampianatra ny hafa hankatò ny mpitarika|Inona no isaoranao amin'ity herinandro ity?|Inona no olana atrehinao ary ahoana no azontsika anampiana?|Makà fotoana hiderana an’Andriamanitra sy hivavaka ho an’izay ilaina.|Ahoana no nampiharanao ny zavatra nianarantsika tamin’ny fotoana nihaonantsika farany?|Lazao anay ny resaka nifanaovanao tamin'ny sakafo farany tao an-tanàna. Misy olona naneho fahalianana hianatra bebe kokoa momba an’i Jesosy ve?|Vakio ny lohatenin'ity fifanakalozan-kevitra ity.|Angataho ny olona iray hamaky ny andalana tsirairay isaky ny mandeha.|Asaivo milaza izany amin’ny fiteniny manokana ny mpikambana iray ao amin’ny vondrona.|Anontanio ny vondrona raha nampiany na tsy nisy na inona na inona.|Rehefa vitanao ny fehintsoratra REHETRA dia angataho ny olona iray ao amin'ny vondrona mba hilaza ny tantara manontolo amin'ny fitadidiana. Asaivo manitsy ny lesoka ny vondrona.|Inona no lazain’io andalan-teny io amintsika momba an’Andriamanitra?|Inona no ambaran’io andalan-teny io amintsika momba ny olona?|Ahoana no ifandraisan'io andalana io amin'ny lohatenin'ity fifanakalozan-kevitra ity?|Ahoana no hampiharana an’ity Soratra Masina ity: Misy fahotana tokony ialana ve, Teny fikasana hotakiana, Ohatra tokony harahintsika, Didy tokony hankatoavina?|Ahoana no ahafahan'ity andalana ity manampy anao hifanerasera amin'ny olona ao an-tanàna?|Iza no holazainao ny zavatra nianaranao androany? Inona no holazainao amin’izy ireo?|Inona no filana voamarikao tato ho ato? Afaka mihaona amin'izy ireo ve isika?|Rahoviana ianao no te hihaona indray?|Fahitana ny fitarihana ara-panahy|Mila mitombo hatrany ny toetra sy ny fahaiza-manao ny mpitondra|Ahoana no anampianao ny mpitarika anao hampivelatra ny toetra sy ny fahaiza-manao ilainy mba hitarihana ny tambajotran'ny Fianarana Baiboly Discovery?|Ny fanontaniana entiny ao amin’ny Soratra Masina dia voataonan’ny filan’ny vondrona tarihiny.|Hitanay ireo lohahevitra, andalan-tsoratra ary fanontaniana mahomby amin'ny fanofanana ireo mpitarika anay.|Mamorona Outline izao|Download Outline|Hamaky bebe kokoa|(mandany ny ampahatelon'ny fotoananao amin'ity fizarana ity)|Soraty eto ny naoty momba ny Look Back|Soraty eto ny naoty momba ny Look Up|Soraty eto ny naoty ho an'ny Look Forward
Malay|mli00|ms|Tengok Belakang|Tengok Atas|Pandang Ke Hadapan|Pemimpin Memanggil Orang Lain Mengikut Kristus|Pemimpin Mengajar Sikap Yang Diberkati Tuhan|Pemimpin Mengajar Sikap Yang Diberkati Tuhan|Pemimpin Mencari Keredhaan Tuhan|Pemimpin Melayan Tuhan|Pemimpin Menghakimi dengan Benar|Pemimpin Menghakimi dengan Benar|Pemimpin Mencari Tuhan|Pemimpin Taat kepada Tuhan|Pemimpin Menjaga Orang Terbuang dan Berdosa|Pemimpin Mengajar, Berkhutbah, dan Menyembuhkan|Pemimpin Menghantar Rakyat Keluar|Pemimpin Bersedia untuk Penganiayaan|Pemimpin Menawarkan Rehat kepada Yang Letih|Pemimpin Mengajar Tentang Kerajaan|Pemimpin Terima Kos|Pemimpin Mendengar Yesus|Pemimpin Mengajar Tentang Iman|Pemimpin Berurusan dengan Dosa|Pemimpin Menghormati Perkahwinan|Pemimpin adalah Pelayan|Pemimpin Memenuhi Keperluan Kerana Belas Kasihan mereka|Pemimpin Melabur Dengan Setia|Pemimpin Berkhidmat Kepada Mereka yang Memerlukan|Pemimpin Mengajar Orang Lain untuk Patuh|Apa yang anda bersyukur untuk minggu ini?|Apa yang anda sedang bergelut dan bagaimana kami boleh membantu?|Luangkan masa untuk memuji Tuhan dan berdoa untuk keperluan.|Bagaimanakah anda mempraktikkan perkara yang kita pelajari pada kali terakhir kita bertemu?|Beritahu kami tentang perbualan anda semasa makan terakhir di kampung. Adakah terdapat orang yang menunjukkan minat untuk mempelajari lebih lanjut tentang Yesus?|Baca tajuk untuk perbincangan ini.|Minta seseorang membaca petikan satu perenggan pada satu masa.|Minta ahli kumpulan menceritakannya dengan perkataan mereka sendiri.|Tanya kumpulan jika mereka menambah apa-apa atau meninggalkan apa-apa.|Apabila anda selesai dengan SEMUA perenggan, minta seseorang dalam kumpulan untuk menceritakan KESELURUHAN cerita mengikut ingatan. Minta kumpulan membetulkan sebarang kesilapan.|Apakah petikan ini memberitahu kita tentang Tuhan?|Apakah petikan ini memberitahu kita tentang orang?|Bagaimanakah petikan ini berkaitan dengan tajuk perbincangan ini?|Bagaimanakah kita dapat menerapkan Kitab Suci ini: Adakah terdapat Dosa yang harus dielakkan, Janji untuk dituntut, Teladan untuk diikuti, Perintah untuk dipatuhi?|Bagaimanakah petikan ini boleh membantu anda berinteraksi dengan orang di kampung?|Siapa yang akan anda beritahu apa yang anda pelajari hari ini? Apa yang anda akan beritahu mereka?|Apakah keperluan yang anda perhatikan sejak kebelakangan ini? Bolehkah kita bertemu salah seorang daripada mereka?|Bila nak jumpa lagi?|Menemui Kepimpinan Rohani|Pemimpin perlu terus berkembang dalam watak dan kemahiran|Bagaimanakah anda membantu pemimpin anda mengembangkan watak dan kemahiran yang mereka perlukan untuk memimpin rangkaian pengajian Bible Discovery yang berlipat ganda?|Soalan-soalan yang mereka bawa kepada Kitab Suci dipengaruhi oleh keperluan kumpulan yang mereka pimpin.|Kami mendapati topik, petikan dan soalan ini berkesan dalam melatih pemimpin kami.|Buat Rangka Sekarang|Muat Turun Garis Besar|Baca lagi|(luangkan satu pertiga daripada masa anda pada bahagian ini)|Tulis nota anda untuk Lihat Belakang di sini|Tulis nota anda untuk Look Up di sini|Tulis nota anda untuk Look Forward di sini
Malayalam|mjs00|ml|തിരിഞ്ഞു നോക്കൂ|തിരയൽ|മുന്നോട്ട് നോക്കുക|നേതാക്കൾ മറ്റുള്ളവരെ ക്രിസ്തുവിനെ അനുഗമിക്കാൻ വിളിക്കുന്നു|നേതാക്കൾ മനോഭാവം പഠിപ്പിക്കുന്നു ദൈവം അനുഗ്രഹിക്കുന്നു|നേതാക്കൾ മനോഭാവം പഠിപ്പിക്കുന്നു ദൈവം അനുഗ്രഹിക്കുന്നു|നേതാക്കൾ ദൈവത്തെ പ്രസാദിപ്പിക്കാൻ ശ്രമിക്കുന്നു|നേതാക്കൾ ദൈവത്തെ സേവിക്കുന്നു|നേതാക്കൾ ന്യായമായി വിധിക്കുന്നു|നേതാക്കൾ ന്യായമായി വിധിക്കുന്നു|നേതാക്കൾ ദൈവത്തെ അന്വേഷിക്കുന്നു|നേതാക്കൾ ദൈവത്തെ അനുസരിക്കുന്നു|പുറത്താക്കപ്പെട്ടവരെയും പാപികളെയും നേതാക്കൾ പരിപാലിക്കുന്നു|നേതാക്കൾ പഠിപ്പിക്കുന്നു, പ്രസംഗിക്കുന്നു, സുഖപ്പെടുത്തുന്നു|നേതാക്കൾ ആളുകളെ പുറത്താക്കുന്നു|നേതാക്കൾ പീഡനത്തിന് തയ്യാറെടുക്കുന്നു|ക്ഷീണിതർക്ക് നേതാക്കൾ വിശ്രമം വാഗ്ദാനം ചെയ്യുന്നു|നേതാക്കൾ രാജ്യത്തെക്കുറിച്ച് പഠിപ്പിക്കുന്നു|നേതാക്കൾ ചെലവ് സ്വീകരിക്കുന്നു|നേതാക്കൾ യേശുവിനെ ശ്രദ്ധിക്കുക|നേതാക്കൾ വിശ്വാസത്തെക്കുറിച്ച് പഠിപ്പിക്കുന്നു|നേതാക്കൾ പാപം കൈകാര്യം ചെയ്യുന്നു|നേതാക്കൾ വിവാഹത്തെ ബഹുമാനിക്കുന്നു|നേതാക്കൾ സേവകരാണ്|നേതാക്കൾ അവരുടെ അനുകമ്പ കാരണം ആവശ്യങ്ങൾ നിറവേറ്റുന്നു|നേതാക്കൾ വിശ്വസ്തതയോടെ നിക്ഷേപിക്കുന്നു|നേതാക്കൾ ആവശ്യക്കാരെ സേവിക്കുന്നു|നേതാക്കൾ മറ്റുള്ളവരെ അനുസരിക്കാൻ പഠിപ്പിക്കുന്നു|ഈ ആഴ്‌ചയ്‌ക്ക് നിങ്ങൾ എന്താണ് നന്ദിയുള്ളത്?|നിങ്ങൾ എന്താണ് ബുദ്ധിമുട്ടുന്നത്, ഞങ്ങൾക്ക് എങ്ങനെ സഹായിക്കാനാകും?|ദൈവത്തെ സ്തുതിക്കാനും ആവശ്യങ്ങൾക്കായി പ്രാർത്ഥിക്കാനും സമയമെടുക്കുക.|ഞങ്ങൾ അവസാനമായി കണ്ടുമുട്ടിയപ്പോൾ ഞങ്ങൾ പഠിച്ചത് നിങ്ങൾ എങ്ങനെ പ്രായോഗികമാക്കി?|ഗ്രാമത്തിലെ അവസാന ഭക്ഷണ സമയത്ത് നിങ്ങൾ നടത്തിയ സംഭാഷണങ്ങളെക്കുറിച്ച് ഞങ്ങളോട് പറയുക. യേശുവിനെക്കുറിച്ച് കൂടുതൽ പഠിക്കാൻ താത്‌പര്യം കാണിച്ച ആളുകൾ ഉണ്ടോ?|ഈ ചർച്ചയുടെ തലക്കെട്ട് വായിക്കുക.|ഒരു സമയം ഒരു ഖണ്ഡിക വായിക്കാൻ ആരോടെങ്കിലും ആവശ്യപ്പെടുക.|ഒരു ഗ്രൂപ്പ് അംഗത്തെ അവരുടെ സ്വന്തം വാക്കുകളിൽ പറയുക.|അവർ എന്തെങ്കിലും ചേർത്തിട്ടുണ്ടോ അല്ലെങ്കിൽ എന്തെങ്കിലും വിട്ടുപോയിട്ടുണ്ടോ എന്ന് ഗ്രൂപ്പിനോട് ചോദിക്കുക.|നിങ്ങൾ എല്ലാ ഖണ്ഡികകളും പൂർത്തിയാക്കുമ്പോൾ, ഗ്രൂപ്പിലെ ആരോടെങ്കിലും മുഴുവൻ കഥയും മെമ്മറി ഉപയോഗിച്ച് പറയാൻ ആവശ്യപ്പെടുക. തെറ്റുകൾ ഉണ്ടെങ്കിൽ തിരുത്താൻ ഗ്രൂപ്പിനെ അറിയിക്കുക.|ദൈവത്തെക്കുറിച്ച് ഈ ഭാഗം നമ്മോട് എന്താണ് പറയുന്നത്?|ഈ ഭാഗം ആളുകളെക്കുറിച്ച് എന്താണ് പറയുന്നത്?|ഈ ചർച്ചയുടെ തലക്കെട്ടുമായി ഈ ഭാഗം എങ്ങനെ ബന്ധപ്പെട്ടിരിക്കുന്നു?|നമുക്ക് ഈ തിരുവെഴുത്ത് എങ്ങനെ ബാധകമാക്കാം: ഒഴിവാക്കാൻ പാപമുണ്ടോ, അവകാശപ്പെടാനുള്ള വാഗ്ദാനമോ, പിന്തുടരാനുള്ള മാതൃകയോ, അനുസരിക്കാനുള്ള കൽപ്പനയോ?|ഗ്രാമത്തിലെ ആളുകളുമായി ഇടപഴകാൻ ഈ ഭാഗം നിങ്ങളെ എങ്ങനെ സഹായിക്കും?|ഇന്ന് നിങ്ങൾ പഠിച്ചത് ആരോട് പറയും? അവരോട് എന്ത് പറയും?|നിങ്ങൾ ഈയിടെയായി എന്തെല്ലാം ആവശ്യങ്ങൾ നിരീക്ഷിച്ചു? അവരിൽ ആരെയെങ്കിലും നമുക്ക് കാണാൻ കഴിയുമോ?|എപ്പോഴാണ് നിങ്ങൾ വീണ്ടും കണ്ടുമുട്ടാൻ ആഗ്രഹിക്കുന്നത്?|ആത്മീയ നേതൃത്വം കണ്ടെത്തുന്നു|നേതാക്കൾ സ്വഭാവത്തിലും വൈദഗ്ധ്യത്തിലും വളരേണ്ടതുണ്ട്|ഡിസ്കവറി ബൈബിൾ പഠനങ്ങളുടെ ഒരു ഗുണിത ശൃംഖലയെ നയിക്കാൻ ആവശ്യമായ സ്വഭാവവും കഴിവുകളും വികസിപ്പിക്കാൻ നിങ്ങളുടെ നേതാക്കന്മാരെ എങ്ങനെ സഹായിക്കും?|അവർ തിരുവെഴുത്തിലേക്ക് കൊണ്ടുവരുന്ന ചോദ്യങ്ങൾ അവർ നയിക്കുന്ന ഗ്രൂപ്പുകളുടെ ആവശ്യങ്ങളാൽ സ്വാധീനിക്കപ്പെടുന്നു.|ഞങ്ങളുടെ നേതാക്കളെ പരിശീലിപ്പിക്കുന്നതിൽ ഈ വിഷയങ്ങളും ഖണ്ഡികകളും ചോദ്യങ്ങളും ഫലപ്രദമാണെന്ന് ഞങ്ങൾ കണ്ടെത്തുന്നു.|ഇപ്പോൾ ഔട്ട്‌ലൈൻ സൃഷ്‌ടിക്കുക|ഔട്ട്‌ലൈൻ ഡൗൺലോഡ് ചെയ്യുക|കൂടുതൽ വായിക്കുക|(നിങ്ങളുടെ സമയത്തിൻ്റെ മൂന്നിലൊന്ന് ഈ വിഭാഗത്തിൽ ചെലവഴിക്കുക)|തിരിഞ്ഞു നോക്കുന്നതിനായി നിങ്ങളുടെ കുറിപ്പുകൾ ഇവിടെ എഴുതുക|തിരയുന്നതിനായി നിങ്ങളുടെ കുറിപ്പുകൾ ഇവിടെ എഴുതുക|മുന്നോട്ട് നോക്കുന്നതിനായി നിങ്ങളുടെ കുറിപ്പുകൾ ഇവിടെ എഴുതുക
