twig	twig	twig	look_back	look_up	look_forward	leaders_call_others_to_follow_christ	leaders_teach_attitudes_god_blesses_1	leaders_teach_attitudes_god_blesses_2	leaders_seek_to_please_god	leaders_serve_god	leaders_judge_righteously_1	leaders_judge_righteously_2	leaders_seek_god	leaders_obey_god	leaders_care_for_outcasts_and_sinners	leaders_teach_preach_and_heal	leaders_send_people_out	leaders_prepare_for_persecution	leaders_offer_rest_to_the_weary	leaders_teach_about_the_kingdom	leaders_accept_the_cost	leaders_listen_to_jesus	leaders_teach_about_faith	leaders_deal_with_sin	leaders_honour_marriage	leaders_are_servants	leaders_meet_needs_with_compassion	leaders_invest_faithfully	leaders_serve_those_in_need	leaders_teach_others_to_obey	thankful_question	struggling_question	group_health_question	praise_and_pray_prompt	practice_question	sharing_god_question	community_needs_question	read_title	read_paragraphs	retell_story	verify_story	whole_story_memory	about_god_question	about_people_question	relate_to_title_question	apply_scripture_question	help_lead_group_question	share_story_this_week	community_action_question	next_meeting_question	discovering_spiritual_leadership	leaders_need_to_grow_character_skills	develop_leaders_prompt	leaders_questions_influenced_by_needs	effective_training_topics_passages_questions	create_outline_now	download_outline	read_more
Ewe		ee																																																								
Filipino (Tagalog)	tagl00	fil	Tumingin Sa likod	Tumingin sa Itaas	Tumingin sa Harap	Tinatawag ng mga Pinuno ang Iba na Sumunod kay Kristo	Ang mga Pinuno ay Nagtuturo ng mga Saloobin na Pinagpapala ng Diyos	Ang mga Pinuno ay Nagtuturo ng mga Saloobin na Pinagpapala ng Diyos	Ang mga Pinuno ay Naghahangad na Palugdan ang Diyos	Naglilingkod sa Diyos ang mga pinuno	Ang mga Pinuno ay Husga ng Matuwid	Ang mga Pinuno ay Husga ng Matuwid	Hinahanap ng mga Pinuno ang Diyos	Ang mga Pinuno ay Sumusunod sa Diyos	Ang mga Pinuno ay Nagmamalasakit sa mga Outcast at Makasalanan	Ang mga Pinuno ay Nagtuturo, Mangangaral, at Nagpapagaling	Pinalabas ng mga Pinuno ang mga Tao	Naghahanda ang mga Pinuno para sa Pag-uusig	Nag-aalok ang Mga Pinuno ng Pahinga sa Pagod	Nagtuturo ang mga Pinuno Tungkol sa Kaharian	Tinanggap ng mga Pinuno ang Gastos	Mga Pinuno Makinig kay Hesus	Nagtuturo ang mga Pinuno Tungkol sa Pananampalataya	Ang mga Pinuno ay Nakikitungo sa Kasalanan	Pinararangalan ng mga Pinuno ang Kasal	Ang mga pinuno ay mga Lingkod	Natutugunan ng mga Pinuno ang mga Pangangailangan Dahil sa kanilang Habag	Namumuhunan nang Tapat ang mga Pinuno	Naglilingkod ang mga Pinuno sa Nangangailangan	Tinuturuan ng mga Pinuno ang Iba na Sumunod	Ano ang iyong ipinagpapasalamat para sa linggong ito?	Ano ang iyong pinaghirapan at paano kami makakatulong?	Kumusta ang mga tao sa iyong (mga) grupo?	Maglaan ng oras upang purihin ang Diyos at manalangin para sa mga pangangailangan.	Paano mo naisagawa ang pinag-aralan natin noong nagkita tayo.	Sino ang nakausap mo tungkol sa Diyos o sino ang iyong nanalangin kamakailan? Ano ang ginawa ng Diyos?	Anong mga pangangailangan ang natugunan mo sa komunidad mula noong huli tayong nagkita?	Basahin ang pamagat para sa talakayang ito.	Hilingin sa isang tao na basahin ang talata nang paisa-isa.	Ipasabi ito sa isang miyembro ng grupo sa sarili nilang mga salita.	Tanungin ang grupo kung may idinagdag sila o may naiwan.	Kapag natapos mo ang LAHAT ng mga talata, hilingin sa isang tao sa grupo na sabihin ang BUONG kuwento sa pamamagitan ng memorya. Ipatama sa pangkat ang anumang pagkakamali.	Ano ang sinasabi sa atin ng talatang ito tungkol sa Diyos?	Ano ang sinasabi sa atin ng talatang ito tungkol sa mga tao?	Paano nauugnay ang talatang ito sa pamagat para sa talakayang ito?	Paano natin mailalapat ang Kasulatang ito: May kasalanan bang dapat iwasan, Pangakong dapat angkinin, Halimbawang dapat sundin, Utos na dapat sundin?	Paano ka matutulungan ng talatang ito na pamunuan ang iyong (mga) pangkat?	Kanino mo sasabihin ang iyong natutunan ngayon? Ano ang sasabihin mo sa kanila?	Anong mga pangangailangan ang maaari nating matugunan sa komunidad ngayong linggo?	Kailan mo gustong magkita muli?	Pagtuklas ng Espirituwal na Pamumuno	Ang mga pinuno ay kailangang patuloy na umunlad sa pagkatao at kasanayan	Paano mo matutulungan ang iyong mga pinuno na bumuo ng karakter at mga kasanayan na kailangan nila upang mamuno sa isang multiply network ng Discovery Bible Studies?	Ang mga tanong na dinadala nila sa Banal na Kasulatan ay naiimpluwensyahan ng mga pangangailangan ng mga grupong kanilang pinamumunuan.	Nakikita namin ang mga paksang ito, mga sipi at mga tanong na epektibo sa pagsasanay sa aming mga pinuno.	Gumawa ng Balangkas Ngayon	I-download ang Balangkas	Magbasa pa
Finnish	fin00	fi	Katso taaksepäin	Katso ylös	Katso eteenpäin	Johtajat kutsuvat muita seuraamaan Kristusta	Johtajat opettavat asenteita, joita Jumala siunaa	Johtajat opettavat asenteita, joita Jumala siunaa	Johtajat pyrkivät miellyttämään Jumalaa	Johtajat palvelevat Jumalaa	Johtajat tuomitsevat oikeudenmukaisesti	Johtajat tuomitsevat oikeudenmukaisesti	Johtajat etsivät Jumalaa	Johtajat tottelevat Jumalaa	Johtajat huolehtivat hylkiöistä ja syntisiä	Johtajat opettavat, saarnaavat ja parantavat	Johtajat lähettävät ihmisiä	Johtajat valmistautuvat vainoon	Johtajat tarjoavat lepoa väsyneille	Johtajat opettavat valtakunnasta	Johtajat hyväksyvät kustannukset	Johtajat kuuntelevat Jeesusta	Johtajat opettavat uskosta	Johtajat käsittelevät syntiä	Johtajat kunnioittavat avioliittoa	Johtajat ovat palvelijoita	Johtajat vastaavat tarpeisiin myötätuntonsa ansiosta	Johtajat sijoittavat uskollisesti	Johtajat palvelevat apua tarvitsevia	Johtajat opettavat muita tottelemaan	Mistä olet kiitollinen tällä viikolla?	Minkä kanssa kamppailet ja miten voimme auttaa?	Miten ryhmäsi (ryhmiesi) ihmiset voivat?	Ota aikaa ylistää Jumalaa ja rukoilla tarpeiden puolesta.	Kuinka toteutit sen, mitä opiskelimme viimeksi tapaamisen yhteydessä?	Kenen kanssa olet puhunut Jumalasta tai kenen kanssa olet rukoillut viime aikoina? Mitä Jumala teki?	Mitä tarpeita olet kohdannut yhteisössä viime tapaamiskerran jälkeen?	Lue tämän keskustelun otsikko.	Pyydä jotakuta lukemaan kohta kappale kerrallaan.	Pyydä ryhmän jäsentä kertomaan se omin sanoin.	Kysy ryhmältä, lisäsivätkö he jotain tai jättivätkö he jotain pois.	Kun olet lopettanut KAIKKI kappaleet, pyydä jotakuta ryhmässä kertomaan KOKO tarina muistiin. Pyydä ryhmää korjaamaan mahdolliset virheet.	Mitä tämä kohta kertoo meille Jumalasta?	Mitä tämä kohta kertoo ihmisistä?	Miten tämä kohta liittyy tämän keskustelun otsikkoon?	Kuinka voisimme soveltaa tätä Raamattua: Onko syntiä vältettävä, lupaus väittää, esimerkki seurata, käsky totella?	Kuinka tämä kohta voi auttaa sinua johtamaan ryhmääsi?	Kenelle kerrot, mitä opit tänään? Mitä aiot kertoa heille?	Mihin tarpeisiin voimme vastata yhteisössä tällä viikolla?	Milloin haluat tavata uudelleen?	Hengellisen johtajuuden löytäminen	Johtajien on jatkuvasti kehitettävä luonnetta ja taitoa	Kuinka autat johtajiasi kehittämään luonnetta ja taitoja, joita he tarvitsevat johtaessaan moninkertaistavaa Discovery Bible Studies -verkostoa?	Kysymyksiin, joita he tuovat Raamattuun, vaikuttavat heidän johtamiensa ryhmien tarpeet.	Pidämme näitä aiheita, kohtia ja kysymyksiä tehokkaina johtajiemme kouluttamisessa.	Luo ääriviivat nyt	Lataa Outline	Lue lisää
French	frn00	fr	Regarder en arrière	Chercher	Avoir hâte	Les dirigeants appellent les autres à suivre le Christ	Les dirigeants enseignent les attitudes que Dieu bénit	Les dirigeants enseignent les attitudes que Dieu bénit	Les dirigeants cherchent à plaire à Dieu	Les dirigeants servent Dieu	Les dirigeants jugent avec justice	Les dirigeants jugent avec justice	Les dirigeants recherchent Dieu	Les dirigeants obéissent à Dieu	Les dirigeants se soucient des exclus et des pécheurs	Les dirigeants enseignent, prêchent et guérissent	Les dirigeants envoient les gens dehors	Les dirigeants se préparent à la persécution	Les dirigeants offrent du repos aux fatigués	Les dirigeants parlent du Royaume	Les dirigeants acceptent le coût	Les dirigeants écoutent Jésus	Les dirigeants enseignent la foi	Les dirigeants font face au péché	Les dirigeants honorent le mariage	Les dirigeants sont des serviteurs	Les dirigeants répondent aux besoins grâce à leur compassion	Les dirigeants investissent fidèlement	Les dirigeants servent ceux qui en ont besoin	Les dirigeants enseignent aux autres à obéir	De quoi êtes-vous reconnaissant cette semaine ?	Quel est votre problème et comment pouvons-nous vous aider ?	Comment vont les personnes de votre (vos) groupe(s) ?	Prenez le temps de louer Dieu et de prier pour répondre aux besoins.	Comment avez-vous mis en pratique ce que nous avons étudié la dernière fois que nous nous sommes rencontrés ?	Avec qui avez-vous parlé de Dieu ou avec qui avez-vous prié récemment ? Qu’a fait Dieu ?	À quels besoins avez-vous répondu dans la communauté depuis notre dernière rencontre ?	Lisez le titre de cette discussion.	Demandez à quelqu'un de lire le passage un paragraphe à la fois.	Demandez à un membre du groupe de le dire dans ses propres mots.	Demandez au groupe s’il a ajouté ou omis quelque chose.	Lorsque vous avez terminé avec TOUS les paragraphes, demandez à quelqu’un du groupe de raconter TOUTE l’histoire de mémoire. Demandez au groupe de corriger les erreurs.	Que nous dit ce passage sur Dieu ?	Que nous dit ce passage sur les gens ?	Quel est le rapport entre ce passage et le titre de cette discussion ?	Comment pourrions-nous appliquer cette Écriture : Y a-t-il un péché à éviter, une promesse à revendiquer, un exemple à suivre, un commandement à obéir ?	Comment ce passage peut-il vous aider à diriger votre (vos) groupe(s) ?	À qui raconterez-vous ce que vous avez appris aujourd’hui ? Que vas-tu leur dire ?	À quels besoins pouvons-nous répondre dans la communauté cette semaine ?	Quand souhaitez-vous vous revoir ?	Découvrir le leadership spirituel	Les dirigeants doivent continuer à développer leur caractère et leurs compétences	Comment aidez-vous vos dirigeants à développer le caractère et les compétences dont ils ont besoin pour diriger un réseau croissant d’études bibliques de découverte ?	Les questions qu’ils posent aux Écritures sont influencées par les besoins des groupes qu’ils dirigent.	Nous trouvons ces sujets, passages et questions efficaces dans la formation de nos dirigeants.	Créer un plan maintenant	Télécharger le plan	En savoir plus
Frisian	Fri29	fy	Sjoch werom	Sjoch Up	Sjoch foarút	Lieders roppe oaren op om Kristus te folgjen	Lieders leare Attitudes God segenet	Lieders leare Attitudes God segenet	Lieders sykje om God te behagen	Lieders tsjinje God	Lieders rjochtsje rjochtfeardich	Lieders rjochtsje rjochtfeardich	Lieders sykje God	Lieders folgje God	Lieders soargje foar Outcasts en Sinners	Lieders leare, preekje en genêze	Lieders stjoere minsken út	Lieders tariede op ferfolging	Lieders biede rêst oan 'e wurge	Lieders leare oer it Keninkryk	Lieders akseptearje de kosten	Lieders Harkje nei Jezus	Lieders leare oer leauwen	Lieders omgean mei Sin	Lieders earje houlik	Lieders binne tsjinstfeinten	Lieders foldogge oan behoeften fanwegen har meilijen	Lieders ynvestearje trou	Lieders tsjinje dyjingen yn need	Lieders leare oaren te folgjen	Wêr bisto tankber foar dizze wike?	Wêr hawwe jo muoite mei en hoe kinne wy ​​helpe?	Hoe giet it mei de minsken yn jo groep(en)?	Nim tiid om God te priizgjen en te bidden foar de behoeften.	Hoe hawwe jo yn 'e praktyk brocht wat wy de lêste kear studearre hawwe.	Mei wa hawwe jo oer God praat of mei wa hawwe jo de lêste tiid gebeden? Wat hat God dien?	Hokker behoeften hawwe jo moete yn 'e mienskip sûnt de lêste kear dat wy moete?	Lês de titel foar dizze diskusje.	Freegje ien om de passaazje ien alinea foar ien te lêzen.	Lit in groepslid it yn har eigen wurden fertelle.	Freegje de groep as se wat tafoege of wat útlitten hawwe.	As jo ​​klear binne mei ALLE paragrafen, freegje dan ien yn 'e groep om it HELE ferhaal troch ûnthâld te fertellen. Lit de groep alle flaters korrigearje.	Wat fertelt dizze passaazje ús oer God?	Wat fertelt dizze passaazje ús oer minsken?	Hoe ferhâldt dizze passaazje mei de titel fan dizze diskusje?	Hoe koene wy ​​dizze Skrift tapasse: Is d'r in sûnde om te foarkommen, belofte om te claimen, Foarbyld te folgjen, gebod om te folgjen?	Hoe kin dizze passaazje jo helpe om jo groep(en) te lieden?	Wa sille jo fertelle wat jo hjoed leard hawwe? Wat sille jo har fertelle?	Oan hokker behoeften kinne wy ​​dizze wike foldwaan yn de mienskip?	Wannear wolle jo wer moetsje?	It ûntdekken fan Spiritueel liederskip	Lieders moatte trochgean te groeien yn karakter en feardigens	Hoe helpe jo jo lieders it karakter en de feardigens te ûntwikkeljen dy't se nedich binne om in fermannichfâldigjend netwurk fan Discovery Bible Studies te lieden?	De fragen dy't se nei de Skrift bringe wurde beynfloede troch de behoeften fan 'e groepen dy't se liede.	Wy fine dizze ûnderwerpen, passaazjes en fragen effektyf by it oplieden fan ús lieders.	Meitsje no Outline	Download Outline	Lês mear
Galician	gln00	gl	Mira atrás	Mira cara arriba	Mire adiante	Os líderes chaman a outros a seguir a Cristo	Os líderes ensinan actitudes que Deus bendiga	Os líderes ensinan actitudes que Deus bendiga	Os líderes buscan agradar a Deus	Os líderes serven a Deus	Os líderes xulgan con xustiza	Os líderes xulgan con xustiza	Os líderes buscan a Deus	Os líderes obedecen a Deus	Os líderes coidan aos marginados e aos pecadores	Os líderes ensinan, predican e curan	Os líderes envían xente	Os líderes prepáranse para a persecución	Os líderes ofrecen descanso aos cansados	Os líderes ensinan sobre o reino	Os líderes aceptan o custo	Os líderes Escoitan a Xesús	Os líderes ensinan sobre a fe	Os líderes tratan co pecado	Os líderes honran o matrimonio	Os líderes son servos	Os líderes satisfacen as necesidades debido á súa compaixón	Os líderes invisten fielmente	Os líderes serven aos necesitados	Os líderes ensinan aos demais a obedecer	Que agradeces esta semana?	Con que estás loitando e como podemos axudar?	Como vai a xente do teu grupo?	Tómese tempo para louvar a Deus e rezar polas necesidades.	Como puxeches en práctica o que estudamos a última vez que nos vimos.	Con quen falaches de Deus ou con quen oraches ultimamente? Que fixo Deus?	Que necesidades cumpriches na comunidade desde a última vez que nos atopamos?	Le o título desta discusión.	Pídalle a alguén que lea o fragmento un parágrafo á vez.	Fai que un membro do grupo o diga coas súas propias palabras.	Pregúntalle ao grupo se engadiron algo ou deixaron algo fóra.	Cando remates con TODOS os parágrafos, pídelle a alguén do grupo que conte TODA a historia de memoria. Fai que o grupo corrixa os erros.	Que nos di este fragmento sobre Deus?	Que nos di esta pasaxe sobre as persoas?	Como se relaciona esta pasaxe co título desta discusión?	Como poderiamos aplicar esta Escritura: Hai un pecado que evitar, Promesa reclamar, Exemplo a seguir, Mandamento a obedecer?	Como pode axudarche este fragmento a liderar o teu grupo?	A quen contarás o que aprendiches hoxe? Que lles dirás?	Que necesidades podemos satisfacer na comunidade esta semana?	Cando te queres atopar de novo?	Descubrindo o liderado espiritual	Os líderes deben seguir crecendo en carácter e habilidade	Como axudas aos teus líderes a desenvolver o carácter e as habilidades que necesitan para liderar unha rede multiplicadora de Estudos Bíblicos Discovery?	As preguntas que achegan ás Escrituras están influenciadas polas necesidades dos grupos que lideran.	Estamos atopando estes temas, pasaxes e preguntas eficaces na formación dos nosos líderes.	Crea un esquema agora	Descargar esquema	Ler máis
Georgian	geo00	ka	უკან გაიხედე	მაღლა აიხედე	იყურე წინ	ლიდერები მოუწოდებენ სხვებს მიჰყვნენ ქრისტეს	ლიდერები ასწავლიან დამოკიდებულებას, რომელსაც ღმერთი აკურთხებს	ლიდერები ასწავლიან დამოკიდებულებას, რომელსაც ღმერთი აკურთხებს	ლიდერები ცდილობენ ღმერთს ასიამოვნონ	ლიდერები ღმერთს ემსახურებიან	ლიდერები სამართლიანად მსჯელობენ	ლიდერები სამართლიანად მსჯელობენ	ლიდერები ეძებენ ღმერთს	ლიდერები ემორჩილებიან ღმერთს	ლიდერები ზრუნავენ გარიყულებსა და ცოდვილებზე	ლიდერები ასწავლიან, ქადაგებენ და მკურნალობენ	ლიდერები ხალხს აგზავნიან	ლიდერები დევნისთვის ემზადებიან	ლიდერები დაღლილებს სთავაზობენ დასვენებას	ლიდერები ასწავლიან სამეფოს შესახებ	ლიდერები იღებენ ღირებულებას	ლიდერები უსმენენ იესოს	ლიდერები ასწავლიან რწმენის შესახებ	ლიდერები ებრძვიან ცოდვას	ლიდერები პატივს სცემენ ქორწინებას	ლიდერები მსახურები არიან	ლიდერები აკმაყოფილებენ საჭიროებებს მათი თანაგრძნობის გამო	ლიდერები ერთგულად ინვესტირებენ	ლიდერები ემსახურებიან გაჭირვებულებს	ლიდერები სხვებს მორჩილებას ასწავლიან	რისთვის ხარ მადლობელი ამ კვირაში?	რა გაწუხებთ და როგორ შეგვიძლია დაგეხმაროთ?	როგორ მიდიან ადამიანები თქვენს ჯგუფ(ებ)ში?	დრო დაუთმეთ ღმერთის დიდებას და ილოცეთ საჭიროებისთვის.	როგორ გამოიყენე ის, რაც ჩვენ შევისწავლეთ ბოლო დროს, როცა შევხვდით.	ვისთან ესაუბრეთ ღმერთზე ან ვისთან ლოცულობდით ამ ბოლო დროს? რა ქნა ღმერთმა?	რა მოთხოვნილებები დააკმაყოფილეთ საზოგადოებაში ბოლო შეხვედრის შემდეგ?	წაიკითხეთ ამ დისკუსიის სათაური.	სთხოვეთ ვინმეს წაიკითხოს ნაწყვეტი თითო აბზაცში.	სთხოვეთ ჯგუფის წევრს თქვას ეს საკუთარი სიტყვებით.	ჰკითხეთ ჯგუფს, დაამატეს რამე ან გამოტოვეს რამე.	როდესაც დაასრულებთ ყველა აბზაცს, სთხოვეთ ჯგუფში ვინმეს, მეხსიერებით მოუყვოს მთელი ამბავი. სთხოვეთ ჯგუფს შეასწოროს ნებისმიერი შეცდომა.	რას გვეუბნება ეს მონაკვეთი ღმერთზე?	რას გვეუბნება ეს მონაკვეთი ადამიანებზე?	როგორ უკავშირდება ეს მონაკვეთი ამ დისკუსიის სათაურს?	როგორ შეგვეძლო გამოვიყენოთ ეს წმინდა წერილი: არის თუ არა ცოდვა, რომელიც უნდა ავიცილოთ თავიდან, დაპირება პრეტენზიას, მაგალითი, რომელსაც უნდა მივყვეთ, მცნება, რომელიც უნდა დავიცვა?	როგორ შეიძლება ეს მონაკვეთი დაგეხმაროთ თქვენი ჯგუფი(ების) მართვაში?	ვის გეტყვით რა ისწავლეთ დღეს? რას ეტყვი მათ?	რა მოთხოვნილებების დაკმაყოფილება შეგვიძლია საზოგადოებაში ამ კვირაში?	როდის გინდა ისევ შევხვდეთ?	სულიერი ლიდერობის აღმოჩენა	ლიდერებმა უნდა განაგრძონ ზრდა ხასიათისა და უნარების მიხედვით	როგორ ეხმარებით თქვენს ლიდერებს განავითარონ ხასიათი და უნარები, რომლებიც მათ სჭირდებათ Discovery Bible Studies-ის მზარდი ქსელის წარმართვისთვის?	კითხვებზე, რომლებსაც ისინი აწვდიან წმინდა წერილს, გავლენას ახდენს იმ ჯგუფების საჭიროებები, რომლებსაც ისინი ხელმძღვანელობენ.	ჩვენ ვპოულობთ, რომ ეს თემები, პასაჟები და კითხვები ეფექტურია ჩვენი ლიდერების მომზადებაში.	შექმენით მონახაზი ახლა	ჩამოტვირთეთ Outline	დაწვრილებით
German	ger00	de	Rückblick	Nachschlagen	Freuen	Führungskräfte rufen andere dazu auf, Christus nachzufolgen	Führungskräfte vermitteln Einstellungen, die Gott segnet	Führungskräfte vermitteln Einstellungen, die Gott segnet	Führungskräfte versuchen, Gott zu gefallen	Führungskräfte dienen Gott	Führungskräfte urteilen gerecht	Führungskräfte urteilen gerecht	Führungskräfte suchen Gott	Führungskräfte gehorchen Gott	Führungskräfte kümmern sich um Ausgestoßene und Sünder	Führungskräfte lehren, predigen und heilen	Führungskräfte schicken Menschen hinaus	Führungskräfte bereiten sich auf Verfolgung vor	Führungskräfte bieten den Müden Ruhe	Führungskräfte lehren über das Königreich	Führungskräfte akzeptieren die Kosten	Führungskräfte hören auf Jesus	Führungskräfte lehren über den Glauben	Führungskräfte gehen mit der Sünde um	Führungskräfte ehren die Ehe	Führer sind Diener	Führungskräfte erfüllen Bedürfnisse aufgrund ihres Mitgefühls	Führungskräfte investieren gewissenhaft	Führungskräfte dienen den Bedürftigen	Führungskräfte lehren andere, zu gehorchen	Wofür bist du diese Woche dankbar?	Womit haben Sie zu kämpfen und wie können wir helfen?	Wie geht es den Leuten in Ihrer Gruppe(n)?	Nehmen Sie sich Zeit, Gott zu loben und für die Bedürfnisse zu beten.	Wie haben Sie das, was wir bei unserem letzten Treffen gelernt haben, in die Praxis umgesetzt?	Mit wem haben Sie in letzter Zeit über Gott gesprochen oder mit wem gebetet? Was hat Gott getan?	Welche Bedürfnisse haben Sie seit unserem letzten Treffen in der Gemeinde erfüllt?	Lesen Sie den Titel dieser Diskussion.	Bitten Sie jemanden, die Passage Absatz für Absatz vorzulesen.	Lassen Sie es von einem Gruppenmitglied mit eigenen Worten erzählen.	Fragen Sie die Gruppe, ob sie etwas hinzugefügt oder weggelassen hat.	Wenn Sie mit ALLEN Absätzen fertig sind, bitten Sie jemanden aus der Gruppe, die GANZE Geschichte auswendig zu erzählen. Lassen Sie die Gruppe etwaige Fehler korrigieren.	Was sagt uns dieser Abschnitt über Gott?	Was sagt uns dieser Abschnitt über Menschen?	In welcher Beziehung steht diese Passage zum Titel dieser Diskussion?	Wie könnten wir diese Schriftstelle anwenden: Gibt es eine Sünde, die es zu vermeiden gilt, ein Versprechen, das man beanspruchen sollte, ein Beispiel, dem man folgen sollte, ein Gebot, das man befolgen sollte?	Wie kann Ihnen diese Passage dabei helfen, Ihre Gruppe(n) zu leiten?	Wem wirst du heute erzählen, was du gelernt hast? Was wirst du ihnen sagen?	Welche Bedürfnisse können wir diese Woche in der Gemeinde erfüllen?	Wann möchtest du dich wiedersehen?	Spirituelle Führung entdecken	Führungskräfte müssen ihren Charakter und ihre Fähigkeiten weiter weiterentwickeln	Wie helfen Sie Ihren Führungskräften, den Charakter und die Fähigkeiten zu entwickeln, die sie benötigen, um ein sich vervielfachendes Netzwerk von Entdeckungsbibelstudien zu leiten?	Die Fragen, die sie an die Heilige Schrift stellen, werden von den Bedürfnissen der Gruppen beeinflusst, die sie leiten.	Wir finden, dass diese Themen, Passagen und Fragen bei der Schulung unserer Führungskräfte wirksam sind.	Jetzt Gliederung erstellen	Gliederung herunterladen	Mehr lesen
Greek	grk00	el	Αναπολώ	Κοιτάζω πάνω	Κοίτα μπροστά	Οι ηγέτες καλούν τους άλλους να ακολουθήσουν τον Χριστό	Οι ηγέτες διδάσκουν στάσεις Ο Θεός ευλογεί	Οι ηγέτες διδάσκουν στάσεις Ο Θεός ευλογεί	Οι ηγέτες επιδιώκουν να ευχαριστήσουν τον Θεό	Οι ηγέτες υπηρετούν τον Θεό	Οι ηγέτες κρίνουν δίκαια	Οι ηγέτες κρίνουν δίκαια	Οι ηγέτες αναζητούν τον Θεό	Οι ηγέτες υπακούουν στον Θεό	Οι ηγέτες φροντίζουν τους απόκληρους και τους αμαρτωλούς	Οι Ηγέτες Διδάσκουν, Κηρύττουν και Θεραπεύουν	Οι ηγέτες στέλνουν ανθρώπους έξω	Οι ηγέτες προετοιμάζονται για δίωξη	Οι ηγέτες προσφέρουν ξεκούραση στους κουρασμένους	Οι Ηγέτες Διδάσκουν για τη Βασιλεία	Οι ηγέτες αποδέχονται το κόστος	Οι ηγέτες Ακούνε τον Ιησού	Οι ηγέτες διδάσκουν για την πίστη	Οι ηγέτες αντιμετωπίζουν την αμαρτία	Οι ηγέτες τιμούν τον γάμο	Οι ηγέτες είναι υπηρέτες	Οι ηγέτες ικανοποιούν τις ανάγκες λόγω της συμπόνιας τους	Οι ηγέτες επενδύουν πιστά	Οι ηγέτες εξυπηρετούν όσους έχουν ανάγκη	Οι ηγέτες διδάσκουν τους άλλους να υπακούουν	Για τι είστε ευγνώμονες αυτή την εβδομάδα;	Με τι παλεύετε και πώς μπορούμε να βοηθήσουμε;	Πώς πηγαίνουν τα άτομα στην ομάδα(ες) σας;	Αφιερώστε χρόνο για να δοξάσετε τον Θεό και να προσευχηθείτε για τις ανάγκες.	Πώς κάνατε πράξη αυτά που μελετήσαμε την τελευταία φορά που γνωριστήκαμε.	Με ποιον έχετε μιλήσει για τον Θεό ή με ποιον έχετε προσευχηθεί τελευταία; Τι έκανε ο Θεός;	Ποιες ανάγκες έχετε καλύψει στην κοινότητα από την τελευταία φορά που συναντηθήκαμε;	Διαβάστε τον τίτλο αυτής της συζήτησης.	Ζητήστε από κάποιον να διαβάσει το απόσπασμα μία παράγραφο τη φορά.	Ζητήστε από ένα μέλος της ομάδας να το πει με δικά του λόγια.	Ρωτήστε την ομάδα εάν πρόσθεσαν κάτι ή άφησαν κάτι έξω.	Όταν τελειώσετε με ΟΛΕΣ τις παραγράφους, ζητήστε από κάποιον στην ομάδα να πει ΟΛΗ την ιστορία από τη μνήμη. Ζητήστε από την ομάδα να διορθώσει τυχόν σφάλματα.	Τι μας λέει αυτό το απόσπασμα για τον Θεό;	Τι μας λέει αυτό το απόσπασμα για τους ανθρώπους;	Πώς σχετίζεται αυτό το απόσπασμα με τον τίτλο αυτής της συζήτησης;	Πώς θα μπορούσαμε να εφαρμόσουμε αυτή τη Γραφή: Υπάρχει αμαρτία προς αποφυγή, Υπόσχεση για αξίωση, Παράδειγμα που πρέπει να ακολουθήσουμε, Εντολή προς υπακοή;	Πώς μπορεί αυτό το απόσπασμα να σας βοηθήσει να ηγηθείτε των ομάδων σας;	Σε ποιον θα πεις τι έμαθες σήμερα; Τι θα τους πεις;	Ποιες ανάγκες μπορούμε να καλύψουμε στην κοινότητα αυτή την εβδομάδα;	Πότε θέλεις να ξανασυναντηθούμε;	Ανακαλύπτοντας την Πνευματική Ηγεσία	Οι ηγέτες πρέπει να συνεχίσουν να αναπτύσσονται σε χαρακτήρα και δεξιότητες	Πώς βοηθάτε τους ηγέτες σας να αναπτύξουν τον χαρακτήρα και τις δεξιότητες που χρειάζονται για να ηγηθούν ενός πολλαπλασιαζόμενου δικτύου Discovery Bible Studies;	Οι ερωτήσεις που φέρνουν στη Γραφή επηρεάζονται από τις ανάγκες των ομάδων που ηγούνται.	Βρίσκουμε αυτά τα θέματα, τα αποσπάσματα και τις ερωτήσεις αποτελεσματικά στην εκπαίδευση των ηγετών μας.	Δημιουργήστε το περίγραμμα τώρα	Λήψη περίληψης	Διαβάστε περισσότερα
Guarani		gn																																																								
